Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
freesolv,random,none,none,none,5,100,0.78264,0.30556,0.46622,0.46622,0.88517,0.87736
freesolv,random,none,none,none,7,100,0.70593,0.33244,0.54228,0.54228,0.84878,0.88753
polygas_He,random,none,none,none,6,100,0.70624,0.35177,0.542,0.542,0.85199,0.84653
polygas_CO2,random,none,none,none,1,100,0.76896,0.32278,0.48067,0.48067,0.87796,0.89374
polygas_H2,random,none,none,none,1,100,0.77995,0.29809,0.4691,0.4691,0.88492,0.89537
polygas_CO2,random,none,none,none,6,100,0.66622,0.37255,0.57774,0.57774,0.83035,0.83315
polygas_O2,random,none,none,none,7,100,0.63753,0.3738,0.60205,0.60205,0.80572,0.81097
sublimation,random,none,none,none,7,100,0.68427,0.37937,0.5619,0.5619,0.82922,0.84336
esol,random,none,none,none,7,100,0.80054,0.3228,0.44661,0.44661,0.89779,0.88527
esol,random,none,none,none,9,100,0.75375,0.35513,0.49624,0.49624,0.87717,0.87027
esol,random,none,none,none,1,100,0.79729,0.33176,0.45024,0.45024,0.89397,0.88618
polymer_o2,random,none,none,none,9,100,0.76444,0.19119,0.48535,0.48535,0.88167,0.30474
polymer_o2,random,none,none,none,4,100,0.6128,0.2359,0.62225,0.62225,0.78568,0.25716
bace,random,none,none,none,9,100,0.40967,0.54574,0.76833,0.76833,0.67832,0.66026
freesolv,penultimate,none,none,none,2,100,0.80668,0.26449,0.43968,0.43968,0.90169,0.91191
freesolv,embedding,none,none,none,7,100,0.81507,0.26529,0.43003,0.43003,0.90549,0.92785
bace,random,none,none,none,2,100,0.38567,0.60224,0.78379,0.78379,0.65761,0.64002
freesolv,penultimate,none,none,none,5,100,0.76014,0.29814,0.48976,0.48976,0.87205,0.89825
freesolv,embedding,none,none,none,4,100,0.7905,0.30265,0.45771,0.45771,0.89713,0.87863
freesolv,embedding,none,none,none,0,100,0.79017,0.29709,0.45807,0.45807,0.89887,0.89611
freesolv,embedding,none,none,none,6,100,0.78488,0.31846,0.46381,0.46381,0.88727,0.86084
freesolv,embedding,none,none,none,5,100,0.83914,0.28199,0.40108,0.40108,0.91681,0.89764
chain_gap,random,none,none,none,6,100,0.68527,0.38247,0.56101,0.56101,0.83762,0.86263
freesolv,embedding,none,none,none,8,100,0.76883,0.29017,0.4808,0.4808,0.89049,0.91489
chain_gap,random,none,none,none,9,100,0.65012,0.40897,0.5915,0.5915,0.80676,0.83789
sublimation,embedding,none,none,none,5,100,0.64525,0.41879,0.59561,0.59561,0.8035,0.80627
polymer_mt,random,none,none,none,1,100,0.38642,0.57639,0.78331,0.78331,0.64099,0.64662
polymer_mt,random,none,none,none,5,100,0.50587,0.51685,0.70294,0.70294,0.7218,0.72347
esol,embedding,none,none,none,6,100,0.78879,0.33644,0.45958,0.45958,0.89033,0.8789
polygas_CH4,embedding,none,none,none,3,100,0.72441,0.32605,0.52497,0.52497,0.85222,0.86388
polygas_O2,embedding,none,none,none,1,100,0.76675,0.30971,0.48296,0.48296,0.87734,0.87857
polygas_CO2,embedding,none,none,none,2,100,0.74631,0.30654,0.50367,0.50367,0.86391,0.88567
polygas_O2,embedding,none,none,none,9,100,0.77943,0.2871,0.46964,0.46964,0.88366,0.89869
polygas_H2,penultimate,none,none,none,0,100,0.74658,0.32236,0.50341,0.50341,0.86974,0.87319
sublimation,embedding,none,none,none,7,100,0.6302,0.41014,0.60811,0.60811,0.79579,0.80411
polygas_N2,penultimate,none,none,none,9,100,0.73984,0.31178,0.51006,0.51006,0.86158,0.87162
polygas_He,embedding,none,none,none,1,100,0.74147,0.32269,0.50846,0.50846,0.86543,0.88414
polygas_O2,embedding,none,none,none,3,100,0.73095,0.30943,0.5187,0.5187,0.85862,0.87559
polygas_H2,embedding,none,none,none,2,100,0.71017,0.33852,0.53836,0.53836,0.85039,0.85704
polygas_CH4,penultimate,none,none,none,4,100,0.74478,0.30708,0.5052,0.5052,0.86714,0.88326
polygas_CO2,penultimate,none,none,none,4,100,0.74293,0.32159,0.50702,0.50702,0.86466,0.8714
polygas_He,embedding,none,none,none,2,100,0.70204,0.33099,0.54586,0.54586,0.83896,0.85667
polygas_O2,penultimate,none,none,none,7,100,0.78012,0.28419,0.46892,0.46892,0.88386,0.89967
polygas_O2,embedding,none,none,none,4,100,0.74214,0.3161,0.5078,0.5078,0.86384,0.87516
polygas_H2,penultimate,none,none,none,3,100,0.77937,0.30115,0.46971,0.46971,0.88366,0.89398
polygas_He,embedding,none,none,none,8,100,0.7133,0.3162,0.53544,0.53544,0.84765,0.85238
polygas_He,embedding,none,none,none,5,100,0.67219,0.34322,0.57255,0.57255,0.83342,0.8674
polymer_density,embedding,none,none,none,6,100,0.62142,0.37201,0.61529,0.61529,0.79266,0.8397
polygas_H2,penultimate,none,none,none,5,100,0.70502,0.31538,0.54312,0.54312,0.84134,0.86089
bace,penultimate,none,none,none,7,100,0.47093,0.51433,0.72737,0.72737,0.69787,0.69634
bace,embedding,none,none,none,3,100,0.43233,0.55974,0.75344,0.75344,0.66531,0.62735
bace,penultimate,none,none,none,8,100,0.37329,0.57488,0.79165,0.79165,0.63622,0.58873
bace,embedding,none,none,none,0,100,0.40504,0.56673,0.77134,0.77134,0.67296,0.63985
bace,penultimate,none,none,none,5,100,0.51909,0.51102,0.69347,0.69347,0.72788,0.68092
chain_gap,embedding,none,none,none,3,100,0.66318,0.41626,0.58036,0.58036,0.81644,0.84098
chain_gap,penultimate,none,none,none,3,100,0.62081,0.4451,0.61579,0.61579,0.79562,0.81419
chain_gap,penultimate,none,none,none,2,100,0.68362,0.40743,0.56248,0.56248,0.83348,0.84838
bace,embedding,none,none,none,7,100,0.48677,0.5378,0.7164,0.7164,0.71008,0.67206
polygas_CO2,random,none,none,none,3,100,0.67584,0.3469,0.56935,0.56935,0.83166,0.85388
chain_gap,embedding,none,none,none,4,100,0.73482,0.35103,0.51496,0.51496,0.85951,0.88184
chain_gap,embedding,none,none,none,6,100,0.67382,0.38833,0.57112,0.57112,0.82807,0.8563
polygas_H2,penultimate,none,none,none,9,100,0.78312,0.28027,0.46571,0.46571,0.88539,0.9081
polygas_N2,random,none,none,none,5,100,0.76141,0.30192,0.48846,0.48846,0.87435,0.87488
chain_gap,penultimate,none,none,none,8,100,0.68636,0.39375,0.56003,0.56003,0.84356,0.85958
polygas_CH4,random,none,none,none,6,100,0.64421,0.36676,0.59648,0.59648,0.82014,0.82023
polygas_O2,embedding,none,none,none,8,100,0.78104,0.28221,0.46793,0.46793,0.88499,0.89835
esol,embedding,none,none,none,1,100,0.7706,0.34122,0.47895,0.47895,0.88378,0.88147
polymer_o2,random,none,none,none,1,100,0.1938,0.19769,0.89788,0.89788,0.51024,0.24825
polymer_mt,penultimate,none,none,none,6,100,0.38501,0.587,0.78421,0.78421,0.70673,0.6908
polymer_mt,penultimate,none,none,none,4,100,0.35575,0.59149,0.80265,0.80265,0.63759,0.62364
polymer_mt,penultimate,none,none,none,0,100,0.43903,0.54702,0.74898,0.74898,0.68436,0.68564
polymer_mt,penultimate,none,none,none,3,100,0.36508,0.57944,0.79682,0.79682,0.6808,0.67607
polygas_H2,random,none,none,none,3,100,0.68169,0.35336,0.56419,0.56419,0.8357,0.85509
polygas_H2,penultimate,none,none,none,1,100,0.77246,0.30952,0.47701,0.47701,0.88404,0.88929
polymer_tg,random,none,none,none,8,100,0.63369,0.44995,0.60524,0.60524,0.81359,0.83205
polymer_density,embedding,none,none,none,8,100,0.58254,0.38516,0.64611,0.64611,0.77636,0.84295
polygas_CH4,random,none,none,none,1,100,0.76565,0.31349,0.48409,0.48409,0.88135,0.89639
