,n,theta,r,t,target
0,6,0,1.5,0.7,1.14466667
1,6,0,1.5,1.05,1.60756105
2,6,0,1.5,1.4,1.144337785
3,6,0,1.7,0.7,3.64273758
4,6,0,1.7,1.05,3.748405035
5,6,0,1.7,1.4,2.661723075
6,6,0,1.9,0.7,5.62889179
7,6,0,1.9,1.05,6.545940435
8,6,0,1.9,1.4,5.13711498
9,6,0,2.1,0.7,6.113001335
10,6,0,2.1,1.05,7.63448638
11,6,0,2.1,1.4,2.06551135
12,6,0,2.3,0.7,22.63629481
13,6,0,2.3,1.05,11.98794863
14,6,0,2.3,1.4,2.18745377
15,6,0,2.5,0.7,27.27353061
16,6,0,2.5,1.05,27.71493771
17,6,0,2.5,1.4,1.724510655
18,6,25,1.6,0.7,1.321202445
19,6,25,1.6,1.05,1.901228995
20,6,25,1.6,1.4,1.464165225
21,6,25,1.8,0.7,2.77622403
22,6,25,1.8,1.05,2.725128695
23,6,25,1.8,1.4,3.181724645
24,6,25,2.0,0.7,4.561826505
25,6,25,2.0,1.05,4.80682388
26,6,25,2.0,1.4,5.21743359
27,6,25,2.2,0.7,5.9481448
28,6,25,2.2,1.05,10.57081004
29,6,25,2.2,1.4,7.91761853
30,6,25,2.4,0.7,9.40534553
31,6,25,2.4,1.05,25.05585347
32,6,25,2.4,1.4,2.401968915
33,6,50,1.5,0.7,0.911408525
34,6,50,1.5,1.05,0.80713156
35,6,50,1.5,1.4,0.600585055
36,6,50,1.7,0.7,1.280064085
37,6,50,1.7,1.05,1.856575375
38,6,50,1.7,1.4,1.22887476
39,6,50,1.9,0.7,1.670555225
40,6,50,1.9,1.05,1.733336745
41,6,50,1.9,1.4,3.17129197
42,6,50,2.1,0.7,16.00978343
43,6,50,2.1,1.05,4.159978755
44,6,50,2.1,1.4,4.324624925
45,6,50,2.3,0.7,3.208368345
46,6,50,2.3,1.05,8.36155203
47,6,50,2.3,1.4,10.26593447
48,6,50,2.5,0.7,6.389414035
49,6,50,2.5,1.05,23.65177359
50,6,50,2.5,1.4,8.263866695
51,6,75,1.6,0.7,0.56218211
52,6,75,1.6,1.05,0.62222879
53,6,75,1.6,1.4,1.129298705
54,6,75,1.8,0.7,0.49796538
55,6,75,1.8,1.05,0.955209465
56,6,75,1.8,1.4,1.307267365
57,6,75,2.0,0.7,0.70437207
58,6,75,2.0,1.05,1.844288285
59,6,75,2.0,1.4,14.5440842
60,6,75,2.2,0.7,2.28417177
61,6,75,2.2,1.05,13.167347
62,6,75,2.2,1.4,1.245206375
63,6,75,2.4,0.7,2.414646575
64,6,75,2.4,1.05,4.68270893
65,6,75,2.4,1.4,17.76211779
66,6,100,1.5,0.7,1.761419435
67,6,100,1.5,1.05,2.038989845
68,6,100,1.5,1.4,1.74145084
69,6,100,1.7,0.7,2.42913609
70,6,100,1.7,1.05,2.639451635
71,6,100,1.7,1.4,1.83067924
72,6,100,1.9,0.7,2.248745235
73,6,100,1.9,1.05,1.874484205
74,6,100,1.9,1.4,13.84331533
75,6,100,2.1,0.7,16.77800679
76,6,100,2.1,1.05,14.0173637
77,6,100,2.1,1.4,13.71482183
78,6,100,2.3,0.7,19.72634797
79,6,100,2.3,1.05,18.3145061
80,6,100,2.3,1.4,17.49456493
81,6,100,2.5,0.7,20.8723812
82,6,100,2.5,1.05,19.19430635
83,6,100,2.5,1.4,23.2304953
84,6,125,1.6,0.7,1.4166949
85,6,125,1.6,1.05,1.25473141
86,6,125,1.6,1.4,1.077183595
87,6,125,1.8,0.7,0.92180845
88,6,125,1.8,1.05,19.82673045
89,6,125,1.8,1.4,13.35430999
90,6,125,2.0,0.7,0.93520637
91,6,125,2.0,1.05,17.48321147
92,6,125,2.0,1.4,18.91401758
93,6,125,2.2,0.7,16.74357002
94,6,125,2.2,1.05,14.11770208
95,6,125,2.2,1.4,20.73650342
96,6,125,2.4,0.7,24.20558826
97,6,125,2.4,1.05,18.50428299
98,6,125,2.4,1.4,11.64011261
99,6,150,1.5,0.7,0.9721676
100,6,150,1.5,1.05,0.73339565
101,6,150,1.5,1.4,1.241250395
102,6,150,1.7,0.7,13.11436394
103,6,150,1.7,1.05,1.247425855
104,6,150,1.7,1.4,16.19996728
105,6,150,1.9,0.7,1.27661952
106,6,150,1.9,1.05,15.55778051
107,6,150,1.9,1.4,19.00199987
108,6,150,2.1,0.7,16.41042719
109,6,150,2.1,1.05,18.51288508
110,6,150,2.1,1.4,17.18467533
111,6,150,2.3,0.7,18.49939449
112,6,150,2.3,1.05,19.91431001
113,6,150,2.3,1.4,18.03172451
114,6,150,2.5,0.7,20.95858163
115,6,150,2.5,1.05,18.51341047
116,6,150,2.5,1.4,20.43322464
117,6,175,1.6,0.7,14.9117021
118,6,175,1.6,1.05,20.1909625
119,6,175,1.6,1.4,16.86847969
120,6,175,1.8,0.7,16.25303968
121,6,175,1.8,1.05,18.12488509
122,6,175,1.8,1.4,20.35152813
123,6,175,2.0,0.7,18.03436356
124,6,175,2.0,1.05,17.5264161
125,6,175,2.0,1.4,18.38228342
126,6,175,2.2,0.7,21.11426736
127,6,175,2.2,1.05,19.70686035
128,6,175,2.2,1.4,13.48899982
129,6,175,2.4,0.7,22.93310771
130,6,175,2.4,1.05,16.38889589
131,6,175,2.4,1.4,14.4047196
132,6,200,1.5,0.7,14.96221898
133,6,200,1.5,1.05,14.65657727
134,6,200,1.5,1.4,20.22036666
135,6,200,1.7,0.7,16.78959272
136,6,200,1.7,1.05,25.21025957
137,6,200,1.7,1.4,19.40045977
138,6,200,1.9,0.7,17.83614353
139,6,200,1.9,1.05,24.39245006
140,6,200,1.9,1.4,23.56283371
141,6,200,2.1,0.7,21.86809238
142,6,200,2.1,1.05,20.21042247
143,6,200,2.1,1.4,20.31956724
