,polymer_dD,polymer_dP,polymer_dH,solv_dD,solv_dP,solv_dH,Mw (Da),PDI,ϕ,P (MPa),target
1,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.11406,82.81,21.34
2,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.18196,80.0,21.18
3,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.0056,7.7,211.76
4,18.3,3.6,3.03,17.31,5.07,12.86,78800.0,1.12,0.00632,0.1,73.99
5,14.0,6.51,6.76,15.11,15.72,38.81,11615.0,1.11,0.2236,0.1,120.8
6,13.8,3.38,4.26,18.2,4.73,4.42,24500.0,2.29,0.20033,0.1,44.5
7,18.3,3.6,3.03,16.07,0.18,0.55,22100.0,1.03,0.11401,1.02,27.42
8,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.03707,6.6,235.0
9,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.1799,4.35,6.08
10,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.1278,4.73,-3.97
11,18.3,3.6,3.03,15.59,5.93,7.25,600000.0,1.1,0.04326,0.1,147.7
12,13.8,3.38,4.26,15.51,10.18,6.73,44500.0,1.51,0.12637,0.1,51.6
13,13.7,3.48,2.56,16.87,2.7,2.26,106000.0,5.27,0.05096,3.94,209.7
14,16.3,9.79,7.12,15.11,15.72,38.81,124000.0,1.49,0.01803,0.1,30.21
15,18.3,3.6,3.03,15.3,2.65,0.56,400000.0,1.06,0.086,0.1,29.78
16,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.01836,4.09,56.35
17,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.06239,4.3,201.0
18,18.3,3.6,3.03,15.3,2.65,0.56,400000.0,1.06,0.019,0.1,29.71
19,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.0457,4.77,48.29
20,18.3,3.6,3.03,16.67,0.1,1.48,354000.0,1.02,0.09862,0.1,9.0
21,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.15162,0.91,-1.75
22,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.09728,51.68,19.63
23,15.2,2.6,3.31,15.88,6.1,15.39,468000.0,1.2,0.09876,0.1,31.7
24,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.27287,4.58,-5.29
25,18.3,3.6,3.03,15.3,2.65,0.56,13200000.0,1.13,0.0123,0.1,36.78
26,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00351,7.44,212.02
27,18.3,3.6,3.03,15.51,10.18,6.73,11700.0,1.03,0.16684,0.41,1.76
28,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.0328,6.56,197.38
29,15.1,7.69,5.38,16.87,2.7,2.26,124800.0,2.37,0.03986,27.06,172.5
30,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.04244,0.53,-1.08
31,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.0944,0.84,23.77
32,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.2242,2.63,163.52
33,18.3,3.6,3.03,18.36,6.11,4.31,86700.0,1.04,0.0554,0.1,62.3
34,14.0,6.51,6.76,15.11,15.72,38.81,15481.0,1.27,0.0229,0.1,116.85
35,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.1768,0.54,138.32
36,18.3,3.6,3.03,15.51,10.18,6.73,13500.0,1.06,0.12794,0.08,13.98
37,18.3,3.6,3.03,16.06,0.22,0.47,297000.0,5.45,0.04374,0.1,57.82
38,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.1388,0.56,24.2
39,18.3,3.6,3.03,16.8,0.19,0.95,171300.0,1.96,0.1078,0.1,24.43
40,14.0,6.51,6.76,15.11,15.72,38.81,4490.0,1.13,0.17309,0.1,252.5
41,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.24359,3.85,165.11
42,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.19234,7.06,21.42
43,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.23818,82.26,20.89
44,18.3,3.6,3.03,15.3,2.65,0.56,400000.0,1.06,0.061,0.1,30.12
