,n_ws^third_difference,GSenergy_pa_arithmetic_average,BCCenergy_pa_max_value,GSenergy_pa_composition_average,BCCenergy_pa_composition_average,BCCenergy_pa_min_value,GSenergy_pa_max_value,GSenergy_pa_min_value,NpValence_difference,SecondIonizationEnergy_composition_average,NpValence_min_value,n_ws^third_min_value,AtomicRadii_composition_average,phi_difference,BCCvolume_padiff_max_value,AtomicRadii_arithmetic_average,SecondIonizationEnergy_min_value,NUnfilled_arithmetic_average,ICSDVolume_difference,ElectronAffinity_difference,BCCenergy_pa_arithmetic_average,BCCfermi_composition_average,IonicRadii_min_value,BCCfermi_difference,NUnfilled_composition_average,target
0,0.0,-4.43089710125,-3.96089058,-4.496076062,-3.060207198,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.9206,4.0,0.0,1.1892,0.0,0.5775,1.3039999999999998,12.126,5.5,20.1,0.0,-3.2103210950000003,4.306970948,1.4,3.0835936200000003,4.8,3.15
1,0.0,-3.8757292541666666,-3.96089058,-4.2281543145,-2.8120249160000004,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.7934,4.0,1.36,1.1024,0.0,0.5775,1.350666666666667,12.126,4.0,20.4,15.399999999999991,-3.046873786666666,3.886097484,1.15,3.0835936200000003,3.2,3.15
2,0.0,-4.2024057741666665,-3.96089058,-4.4241602265,-2.998066508,-3.96089058,-4.1050022975,-4.1050022975,3.0,27.261,1.0,1.39,1.0996,0.0,0.5775,1.346,12.126,5.333333333333334,20.8,96.1,-3.356943106666667,4.628360208,0.54,4.69053992,4.0,0.817
3,0.0,-4.5042277725,-3.96089058,-4.6052534255,-3.11102188,-3.96089058,-4.1050022975,-4.1050022975,1.0,27.222,3.0,1.44,1.0916,0.0,0.5775,1.3326666666666669,12.126,4.666666666666667,20.1,64.1,-3.5452020600000003,4.37047462,0.58,3.4011119800000005,3.6,0.817
4,0.0,-4.023828937499999,-3.96089058,-4.3170141245,-2.904919646,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.5996,4.0,1.57,1.102,0.0,0.5775,1.35,12.126,4.0,20.5,81.64000000000001,-3.201698336666667,4.276496752,0.85,3.0835936200000003,3.2,6.695
5,0.0,-5.179830785556667,-3.96089058,-5.010615233334001,-3.261315334,-3.96089058,-4.1050022975,-4.1050022975,3.0,28.5262,1.0,1.75,1.0096,0.0,0.5775,1.196,12.126,5.333333333333334,29.7,114.1,-3.795691150000001,5.127466916,0.23,7.186073459999999,4.0,6.695
6,0.0,-3.5951054875,-3.96089058,-4.0597800545,-2.652733534,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.4962,4.0,0.81,1.2576,0.0,0.5775,1.6093333333333335,10.004,3.6666666666666665,45.5,0.0,-2.78138815,3.395473662,1.4,4.55748643,3.0,3.634
7,0.0,-4.205610965833333,-3.96089058,-4.4260833415,-2.999083464,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.1376,4.0,1.67,1.0376,0.0,0.5775,1.2426666666666668,12.126,3.6666666666666665,29.3,0.0,-3.358638033333333,4.694767336,0.45,5.02257556,3.0,3.634
8,0.0,-4.278496200833333,-3.96089058,-4.4698144825,-3.0471058300000005,-3.96089058,-4.1050022975,-4.1050022975,1.0,26.8328,3.0,1.16,1.1536,0.0,0.5775,1.4360000000000002,12.126,4.666666666666667,20.1,31.099999999999994,-3.4386753100000003,4.768176982,1.03,5.38962379,3.6,0.807
9,0.0,-3.603374589166666,-3.96089058,-4.0647415155,-2.653480924,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.8696,4.0,0.91,1.2076,0.0,0.5775,1.526,11.871,3.6666666666666665,26.8,0.0,-2.7826338,3.654630238,1.0,3.26170355,3.0,0.807
10,0.0,-3.2246561425,-3.96089058,-3.8375104475,-2.41609689,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.877,4.0,1.24,1.1114,0.0,0.5775,1.3656666666666668,12.126,3.6666666666666665,20.1,0.0,-2.386993743333333,3.863204384,0.95,3.0835936200000003,3.0,4.163
11,0.0,-4.5461212841666665,-3.96089058,-4.630389532500001,-3.199065378,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.6656,4.0,1.19,1.1786,0.0,0.5775,1.477666666666667,10.851,10.999999999999998,20.1,91.1,-3.691941223333334,3.806546414,1.14,3.0835936200000003,7.4,4.163
