,NdUnfilled_max_value,phi_composition_average,SpaceGroupNumber_composition_average,phi_max_value,NpValence_composition_average,SecondIonizationEnergy_min_value,ThermalExpansionCoefficient_difference,ElasticModulus_composition_average,IsAlkali_arithmetic_average,Electronegativity_composition_average,Group_composition_average,Column_composition_average,ElasticModulus_min_value,ThirdIonizationEnergy_min_value,NUnfilled_arithmetic_average,NdUnfilled_composition_average,SecondIonizationEnergy_difference,HeatFusion_difference,NValance_min_value,BoilingT_difference,IonicRadii_min_value,n_ws^third_composition_average,MendeleevNumber_min_value,SecondIonizationEnergy_arithmetic_average,SecondIonizationEnergy_composition_average,target
0,8.0,1.55,48.99999999999999,4.15,3.2,14.925,1794.1,34.6,0.0,2.8360000000000003,13.6,13.6,34.0,23.32,3.5,1.6,20.192,26.98,6.0,4791.12,0.83,0.522,45.0,25.42475,27.3632,0.62
1,9.0,2.5820000000000003,128.8,6.86,2.4000000000000004,12.24,1788.7,14.88,0.2,2.532,10.4,10.4,10.0,20.52,3.2,1.8,64.39800000000001,11.17,1.0,3540.79,0.76,0.768,1.0,37.7132,37.7132,0.62
2,9.0,2.982,115.6,6.86,2.8,12.8,770.0,23.8,0.0,2.692,13.0,13.0,39.0,24.76,4.25,1.8,22.317,24.22,3.0,3025.79,0.58,0.8719999999999999,11.0,24.03775,26.253599999999995,1.48
3,3.0,1.9,91.0,5.4,2.8,15.028,773.6,90.0,0.0,2.97,13.999999999999998,13.999999999999998,20.0,28.47,3.333333333333333,0.6,20.089,38.37000000000001,6.0,4332.9,0.62,0.596,56.0,22.301666666666662,27.4278,1.48
4,0.0,1.85,76.6,5.15,2.6,20.51,765.8,21.66,0.0,2.762,14.400000000000002,14.400000000000002,11.0,30.71,2.5,0.0,14.606999999999996,12.33,6.0,3038.9,0.29,0.5760000000000001,66.0,24.8695,26.919,1.2
5,0.0,2.6020000000000003,123.2,6.86,2.4000000000000004,18.759,1751.0,4.760000000000002,0.2,2.6500000000000004,12.2,12.2,1.8,34.202,1.4,0.0,16.357999999999997,2.075,1.0,866.79,1.02,0.688,5.0,28.7094,28.7094,1.2
6,6.0,3.412,128.2,6.86,2.2,29.601,775.5,190.2,0.0,2.8960000000000004,12.2,12.2,401.0,47.448,3.75,2.0,5.515999999999997,57.63,5.0,5750.79,0.6,1.0619999999999998,51.0,16.179499999999994,19.967,0.78
7,0.0,0.8400000000000001,70.80000000000003,4.2,3.2,18.6,761.2,12.4,0.0,2.884,15.2,15.2,22.0,27.96,1.3333333333333333,0.0,16.516999999999996,17.16,6.0,1170.9,0.97,0.248,71.0,24.158666666666665,28.542,0.78
8,7.0,2.702,135.0,6.86,2.4000000000000004,11.03,1791.6,28.8,0.0,2.608,11.000000000000002,11.000000000000002,15.0,29.31,2.6,1.4,24.087,21.28,2.0,3602.79,0.54,0.8259999999999998,8.0,25.0736,25.0736,1.24
9,0.0,2.8520000000000003,135.0,6.86,2.4000000000000004,20.521,1785.8,16.14,0.2,2.764,12.0,12.0,2.4,45.72,1.6,0.0,14.595999999999997,12.33,1.0,3051.79,0.85,0.774,3.0,30.3668,30.3668,1.24
10,0.0,2.922,128.79999999999998,6.86,2.4000000000000004,18.211,1788.7,61.2,0.2,2.592,10.2,10.2,5.0,47.448,1.4,0.0,29.075000000000006,7.675,1.0,2665.79,0.45,0.8279999999999998,2.0,33.037,33.037,1.76
11,3.0,1.47,91.8,5.1,2.4,17.06,767.0,42.08,0.3333333333333333,2.604,11.6,11.6,2.4,33.5,2.0,0.6,18.057,15.98,1.0,3109.9,0.65,0.48,3.0,27.934,30.8072,1.76
12,1.0,3.3320000000000003,116.8,6.86,2.6,14.632,771.2,45.0,0.0,2.832,14.2,14.2,50.0,30.502,2.75,0.2,20.485,21.955,5.0,4020.79,0.63,0.934,63.0,24.47825,26.606,1.5
13,7.0,1.7959999999999998,98.8,4.93,2.4,16.18,773.7,78.80000000000003,0.0,2.73,12.2,12.2,183.0,30.651,4.333333333333334,2.2,18.937,36.35,6.0,5640.9,0.55,0.6799999999999999,48.0,17.099,24.3062,1.5
14,9.0,5.726000000000001,201.0,6.86,1.8,12.8,235.5,96.2,0.0,2.568,10.8,10.8,80.0,24.76,6.0,3.0,16.801,51.95500000000001,3.0,5750.79,0.6,1.606,11.0,14.133666666666668,20.3206,1.06
15,7.0,1.78,98.8,4.65,2.4,14.65,775.2,90.2,0.0,2.822,11.8,11.8,129.0,27.16,5.0,2.4,20.467,37.26,5.0,4821.9,0.54,0.6819999999999999,46.0,22.076,27.2924,1.06
16,8.0,2.912,128.2,6.86,2.2,13.13,774.3,44.6,0.0,2.576,11.2,11.2,94.0,22.99,5.0,3.0,21.986999999999995,21.28,4.0,4604.79,0.54,0.94,44.0,23.1245,25.523000000000003,0.46
17,0.0,3.342,134.6,6.86,2.8000000000000003,16.345,1797.4,48.06,0.0,2.9799999999999995,14.6,14.6,78.3,33.492,2.2,0.0,18.772,49.99,4.0,3095.79,0.26,0.944,66.0,27.3108,27.3108,0.46
18,5.0,3.122,102.8,6.86,2.6,16.461,1795.2,66.60000000000001,0.0,2.886,13.4,13.4,11.0,27.16,3.4,1.0,18.656,37.26,5.0,4834.79,0.59,0.946,50.0,27.3318,27.3318,1.76
19,0.0,4.404,84.8,6.86,3.2,16.687,766.6,13.6,0.0,2.712,15.2,15.2,34.0,25.559,2.6666666666666665,0.0,18.43,10.886,5.0,1759.79,1.03,1.124,82.0,27.135,25.5386,1.76
20,0.0,2.982,111.2,6.86,3.0000000000000004,14.632,1778.0,12.4,0.0,2.8079999999999994,15.000000000000002,15.000000000000002,12.0,29.829,3.0,0.0,20.485,6.9300000000000015,5.0,2797.79,0.71,0.802,76.0,26.9496,26.9496,1.68
21,6.0,1.7799999999999998,103.4,4.8,2.4000000000000004,17.964000000000002,775.5,103.0,0.0,2.694,13.2,13.2,19.0,34.83,2.5,1.2,17.153,52.09,6.0,5737.9,0.29,0.626,51.0,19.10275,22.3056,1.68
22,5.0,5.636000000000001,200.2,6.86,1.8,11.03,233.8,95.2,0.0,2.394,10.8,10.8,15.0,43.6,2.666666666666667,1.0,18.571,33.725,2.0,5791.79,0.53,1.5279999999999998,8.0,13.543666666666663,19.9666,0.82
23,8.0,2.522,128.8,6.86,2.4000000000000004,13.58,1791.4,22.36,0.2,2.5580000000000003,10.6,10.6,1.8,27.491,3.0,1.6,21.537,13.93,1.0,3482.79,0.61,0.7440000000000001,5.0,27.6736,27.6736,0.82
24,9.0,1.354,96.4,3.6,2.4000000000000004,11.059,774.8,41.6,0.0,2.372,11.0,11.0,19.0,19.174,5.25,3.4000000000000004,24.058000000000003,26.98,3.0,4785.9,0.29,0.526,13.0,21.10775,23.9096,1.16
25,0.0,2.05,97.0,5.45,3.0,18.633,768.2,36.99999999999999,0.0,2.768,14.6,14.6,19.0,28.351,1.75,0.0,16.483999999999998,24.22,6.0,3145.9,0.29,0.6219999999999999,62.0,24.1775,26.3654,1.16
26,6.0,5.836,207.2,6.86,2.2,14.32,234.3,43.8,0.0,2.5460000000000003,12.8,12.8,104.0,25.04,4.666666666666666,1.2,15.281,36.585,5.0,4939.79,0.53,1.5919999999999996,47.0,19.951666666666664,23.81140000000001,0.32
27,5.0,3.3920000000000003,134.39999999999998,6.86,2.2,16.5,775.1,77.19999999999997,0.0,2.756,12.6,12.6,127.0,30.96,2.75,1.0,18.617,20.78,5.0,3158.79,0.62,1.0099999999999998,49.0,25.212,27.192999999999994,0.32
28,0.0,1.25,81.8,4.15,3.0,14.632,1778.0,10.4,0.25,2.728,12.8,12.8,2.0,30.502,2.0,0.0,20.485,6.9300000000000015,1.0,2790.12,0.71,0.368,4.0,27.99975,29.4232,0.6
29,6.0,3.262,135.2,6.86,2.2,16.461,775.5,144.60000000000005,0.0,2.888,11.8,11.8,322.0,27.16,4.25,2.2,18.656,52.09,5.0,5750.79,0.59,1.0459999999999998,50.0,20.29475,23.2592,0.6
30,3.0,4.854,163.8,6.86,2.0,17.06,768.2,67.0,0.0,2.72,13.0,13.0,127.0,32.93,2.0,0.6,18.057,16.52,5.0,3158.79,0.64,1.344,58.0,25.352,26.201799999999995,0.66
31,6.0,2.752,135.2,6.86,2.2,27.28,775.5,80.60000000000002,0.25,2.62,10.8,10.8,2.0,40.0,3.0,1.2,7.836999999999996,52.09,1.0,5750.79,0.6,0.8119999999999999,4.0,22.9995,25.423,0.66
32,3.0,1.5,98.6,5.55,2.6,25.1,1793.6,106.96,0.25,2.77,11.8,11.8,1.8,54.934,1.75,0.6,10.016999999999996,40.9,1.0,4616.12,0.63,0.476,5.0,23.79675,26.0608,0.62
33,6.0,5.466,208.0,6.86,1.8,25.1,235.5,80.56,0.3333333333333333,2.454,10.4,10.4,1.8,47.448,3.333333333333333,1.2,4.500999999999999,51.95500000000001,1.0,5750.79,0.6,1.4619999999999995,5.0,18.233666666666664,22.7806,0.62
34,0.0,3.442,116.2,6.86,2.6,18.211,1795.3,148.4,0.0,2.814,12.6,12.6,301.0,37.93,2.2,0.0,16.906,49.98,2.0,4195.79,0.23,1.0139999999999998,67.0,28.6106,28.6106,1.3
35,8.0,3.022,116.2,6.86,3.0,13.13,1794.3,26.6,0.0,2.7940000000000005,13.400000000000002,13.400000000000002,39.0,22.99,3.4,1.6,21.986999999999995,24.22,4.0,4604.79,0.58,0.8999999999999999,44.0,26.2902,26.2902,1.3
36,9.0,5.776000000000002,194.0,6.86,1.8,12.8,230.0,76.2,0.0,2.41,10.0,10.0,80.0,24.76,4.0,1.8,16.801,13.745,2.0,3025.79,0.45,1.5779999999999998,11.0,20.204,23.9628,0.58
37,4.0,3.248,134.4,6.86,2.2,16.18,768.2,67.0,0.0,2.73,13.2,13.2,124.0,30.651,2.5,0.8,18.937,13.59,5.0,3122.79,0.55,0.978,55.0,25.2975,27.2614,0.58
38,5.0,5.8260000000000005,190.0,6.86,2.0,16.461,235.2,67.2,0.0,2.612,12.8,12.8,14.0,27.16,4.666666666666667,1.0,13.14,37.125,5.0,4834.79,0.59,1.5779999999999998,50.0,21.643666666666665,24.8266,1.18
39,6.0,3.222,132.79999999999998,6.86,2.2,15.64,775.5,119.8,0.0,2.766,12.0,12.0,198.0,33.667,4.0,2.2,19.477,52.09,5.0,5750.79,0.6,1.0139999999999998,51.0,20.0895,23.095,1.18
40,7.0,3.032,135.8,6.86,2.4000000000000004,14.32,1792.7,46.6,0.0,2.738,11.6,11.6,104.0,25.04,4.0,2.6,20.797,29.78,5.0,4939.79,0.54,0.986,46.0,25.7316,25.7316,0.76
41,0.0,2.692,128.2,6.86,2.4000000000000004,20.428,750.1,3.4,0.25,2.494,12.2,12.2,5.0,29.829,2.75,0.0,26.858,3.922,1.0,1668.79,1.02,0.718,2.0,33.108000000000004,33.5098,0.76
42,0.0,3.172,133.60000000000002,6.86,2.6,15.934,774.3,47.8,0.0,2.766,14.4,14.4,115.0,34.22,2.5,0.0,19.183,36.72,5.0,3122.79,0.53,0.898,64.0,25.236,27.2122,0.72
43,0.0,4.3740000000000006,159.0,6.86,2.2,25.154,775.3,90.2,0.25,2.508,12.0,12.0,10.0,37.93,2.75,0.0,51.48400000000001,49.98,1.0,4195.79,0.23,1.206,1.0,41.6275,39.2222,0.72
44,0.0,6.006,188.4,6.86,2.4,16.53,229.0,73.60000000000002,0.0,2.5480000000000005,12.4,12.4,67.0,25.3,2.0,0.0,13.070999999999998,19.435,2.0,2665.79,0.45,1.5759999999999998,67.0,21.447333333333333,24.7088,0.68
45,7.0,0.85,83.4,4.25,3.2,14.65,771.6,33.8,0.0,2.81,13.8,13.8,40.0,27.96,3.666666666666667,1.4,20.467,21.28,5.0,3589.9,0.54,0.328,46.0,22.789,27.7202,0.68
46,4.0,6.112,201.0,6.86,1.8,16.18,228.7,102.4,0.0,2.5040000000000004,11.0,11.0,211.0,30.651,2.333333333333333,0.8,13.421,13.455,2.0,3056.79,0.45,1.6780000000000002,55.0,21.330666666666666,24.6388,0.7
47,8.0,0.6900000000000001,77.0,3.45,3.4000000000000004,13.13,1794.3,26.8,0.0,2.858,13.8,13.8,40.0,22.99,3.25,1.6,21.986999999999995,20.78,4.0,4597.12,0.84,0.282,44.0,25.454249999999995,27.3868,0.7
48,4.0,5.886000000000001,194.0,6.86,1.8,15.035,234.9,118.88,0.0,2.526,11.0,11.0,44.4,47.448,2.333333333333333,0.8,14.566,57.49500000000001,2.0,5207.79,0.63,1.594,57.0,14.878666666666666,20.7676,0.56
49,7.0,1.92,109.6,5.55,2.4000000000000004,23.33,773.7,147.0,0.0,2.632,12.400000000000002,12.400000000000002,19.0,34.83,3.5,2.0,11.787,40.9,6.0,5640.9,0.29,0.6920000000000001,48.0,14.61175,18.7128,0.56
50,3.0,2.992,128.8,6.86,2.4000000000000004,16.76,1793.6,87.0,0.2,2.7179999999999995,11.4,11.4,5.0,28.47,2.2,0.6,30.526,38.37000000000001,1.0,4345.79,0.62,0.8599999999999999,2.0,32.7468,32.7468,0.92
