,BCCvolume_pa_difference,BCCefflatcnt_max_value,BCCefflatcnt_difference,BCCvolume_pa_max_value,n_ws^third_difference,CovalentRadius_difference,ICSDVolume_max_value,AtomicRadii_difference,AtomicRadii_max_value,CovalentRadius_max_value,ICSDVolume_difference,valence_max_value,MendeleevNumber_arithmetic_average,NdUnfilled_arithmetic_average,GSenergy_pa_max_value,BCCenergy_pa_max_value,GSenergy_pa_min_value,valence_arithmetic_average,BCCfermi_arithmetic_average,BCCenergy_pa_min_value,valence_composition_average,ElasticModulus_difference,BCCfermi_composition_average,MendeleevNumber_composition_average,n_ws^third_arithmetic_average,target
0,81.31,11.23526301,6.340391241000002,88.64,0.7899999999999999,154.0,93.0,1.75,2.48,220.0,76.4,4.0,54.66666666666666,0.0,-0.963335025,-0.96193707,-0.963335025,3.0,3.6428301866666666,-0.96193707,2.6,68.5,3.415111512,67.60000000000001,0.6633333333333333,3.73413
1,81.31,11.23526301,6.340391241000002,88.64,0.7100000000000001,154.0,93.0,1.75,2.48,220.0,75.7,4.0,55.0,0.0,-0.963335025,-0.96193707,-0.963335025,3.0,2.3714246233333336,-0.96193707,2.6,9.0,2.652268174,67.80000000000001,0.6366666666666667,3.73413
2,81.31,11.23526301,6.340391241000002,88.64,0.57,154.0,93.0,1.75,2.48,220.0,75.7,4.0,55.33333333333333,0.0,-0.963335025,-0.96193707,-0.963335025,3.0,3.8542282566666666,-0.96193707,2.6,12.0,3.541950354,68.0,0.59,4.16464
3,81.31,11.23526301,6.340391241000002,88.64,0.7700000000000001,154.0,93.0,1.75,2.48,220.0,75.7,4.0,56.66666666666666,0.0,-0.963335025,-0.96193707,-0.963335025,3.333333333333333,2.5148199,-0.96193707,2.8,113.0,2.73830534,68.80000000000001,0.6566666666666667,4.16464
4,81.31,11.23526301,6.340391241000002,88.64,0.64,154.0,93.0,1.75,2.48,220.0,75.7,4.0,57.0,0.0,-0.963335025,-0.96193707,-0.963335025,3.333333333333333,4.0716548066666665,-0.96193707,2.8,48.0,3.672406284,69.0,0.6133333333333333,4.73135
5,81.31,11.23526301,6.340391241000002,88.64,0.66,154.0,93.0,1.75,2.48,220.0,75.7,5.0,58.66666666666666,0.0,-0.963335025,-0.96193707,-0.963335025,3.6666666666666665,3.8511929866666654,-0.96193707,3.0,65.0,3.540129192,70.0,0.62,4.73135
6,110.7,12.36054054,7.465668771000002,118.03,0.72,178.0,67.5,1.94,2.67,244.0,50.2,3.0,34.333333333333336,3.0,-0.85462646,-0.85260163,-0.85462646,2.0,2.66771539,-0.85260163,2.0,78.2,2.830042634,55.40000000000001,0.6066666666666667,3.4828
7,110.7,12.36054054,7.465668771000002,118.03,0.97,178.0,67.5,1.94,2.67,244.0,50.2,4.0,45.0,2.6666666666666665,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,2.175832026666667,-0.85260163,2.2,108.2,2.534912616,61.8,0.6900000000000001,3.4828
8,110.7,12.36054054,7.465668771000002,118.03,0.8599999999999999,178.0,67.5,1.94,2.67,244.0,50.2,4.0,45.33333333333333,2.6666666666666665,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,2.5931319266666666,-0.85260163,2.2,92.2,2.7852925560000004,62.0,0.6533333333333333,4.39669
9,110.7,12.36054054,7.465668771000002,118.03,0.8999999999999999,178.0,67.5,1.94,2.67,244.0,50.2,4.0,45.66666666666667,2.6666666666666665,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,2.7613385666666668,-0.85260163,2.2,137.2,2.88621654,62.2,0.6666666666666667,4.39669
