,BCCvolume_pa_min_value,BCCefflatcnt_min_value,GSestBCClatcnt_min_value,GSvolume_pa_min_value,AtomicVolume_arithmetic_average,GSestFCClatcnt_min_value,HeatVaporization_arithmetic_average,CovalentRadius_min_value,CovalentRadii_min_value,BoilingT_arithmetic_average,GSenergy_pa_composition_average,IsSimpleCubic_composition_average,n_ws^third_arithmetic_average,HeatVaporization_composition_average,AtomicVolume_composition_average,IsNonmetal_composition_average,IonicRadii_difference,AtomicVolume_difference,IonicRadii_min_value,IsPnictide_composition_average,Density_composition_average,GSbandgap_composition_average,AtomicRadii_composition_average,ThermalExpansionCoefficient_min_value,IsMetal_composition_average,target
0,28.3,7.678955297999999,4.111975037,34.7633333333,49.462985198621205,5.180763906,95.415,138.0,1.36,1702.0,-2.532412383335,0.0,0.405,95.415,49.462985198621205,0.0,0.45,31.012592952148,0.97,0.0,4875.0,0.2319999999999999,1.91,18.8,0.5,98.58577122703691
1,6.11,4.606669594,2.429779429,7.1725,14.51086650123137,3.061330249,270.1,84.0,0.82,2580.0,-5.664293634585,0.0,1.595,270.1,14.51086650123137,0.0,0.35,14.426198471893258,0.23,0.5,4093.5,0.762,1.185,4.7,0.5,98.58577122703691
2,2.89,3.5892684530000003,2.365120549,6.615,4680.662028420423,2.979865165,188.929525,31.0,0.32,1953.2825,-3.422996583125,0.0,1.28,188.929525,4680.662028420423,0.25,1.28,18598.44142732422,0.26,0.0,2936.022475,2.1565,1.3175,2.6,0.5,701.5857233477558
3,6.98,4.815689402,3.091182017,14.76875,6209.567968206464,3.894645292,183.21760000000003,71.0,0.75,1782.07,-5.795140210625,0.0,1.45,138.1114,9305.300717809549,0.5,1.17,18575.90454210129,0.54,0.5,2151.6255,3.2185,1.17,19.7,0.5,701.5857233477558
4,6.11,4.606669594,2.429779429,7.1725,17.755944540962968,3.061330249,260.1,84.0,0.82,2413.25,-6.039103598335,0.0,1.7,260.1,17.755944540962968,0.5,0.06,20.916354551356463,0.17,0.5,2141.5,1.5745,1.13,4.7,0.0,1138.5856886491724
5,8.43,5.128407411,2.687689729,9.7075,6220.5961086685975,3.386276865,135.52326666666667,57.0,0.72,1473.533333333333,-4.086625817083333,0.3333333333333333,0.4033333333333333,135.52326666666667,6220.5961086685975,0.6666666666666666,1.04,18574.442021533927,0.29,0.0,2144.565333333333,1.3906666666666667,1.2666666666666666,11.3,0.3333333333333333,1138.5856886491724
6,15.07,6.224116959,3.108612885,15.02,18.55258568263297,3.91660681,423.3166666666667,120.0,1.22,3583.666666666667,-6.139925448333333,0.0,1.5566666666666666,423.3166666666667,18.55258568263297,0.0,0.0999999999999999,7.300512875624402,0.53,0.0,10306.666666666668,0.1276666666666666,1.399333333333333,5.7,0.6666666666666666,718.5857219979254
7,22.88,7.153611229,3.577326635,22.89,28.589490909086948,4.50714913,89.115,138.0,1.36,1312.0,-2.341787408335,0.0,0.585,89.115,28.589490909086948,0.0,0.25,10.7343956269205,0.72,0.0,3989.0,0.2319999999999999,1.6,18.8,0.5,718.5857219979254
8,19.01,6.725130247,3.539684396,22.175,23.97101469828977,4.459722881,150.1233333333333,119.0,1.2,1708.3333333333337,-3.7012744075,0.0,1.2833333333333332,120.6925,23.409252458011824,0.0,0.14,5.2428195248866025,0.58,0.5,5125.5,0.0,1.5,15.4,1.0,795.5857158839873
9,7.8,4.99733191,2.508239481,7.89,18.929642484897467,3.160183721,206.59,96.0,0.9,2168.333333333333,-4.25446600375,0.0,1.45,163.04250000000005,19.6282232979676,0.0,0.2599999999999999,18.86860880661481,0.45,0.5,5153.0,0.0,1.38,11.3,1.0,795.5857158839873
10,7.8,4.99733191,2.508239481,7.89,18.77622532956793,3.160183721,222.8,96.0,0.9,2156.5,-4.99524369625,0.0,1.6066666666666665,170.2,21.13569945133625,0.5,0.28,20.115945361191407,0.17,0.5,1956.0,1.00575,1.25,2.6,0.25,339.5857520912048
11,7.8,4.99733191,2.508239481,7.89,16.612839969746865,3.160183721,229.46666666666667,96.0,0.9,2267.666666666667,-4.6204337325,0.0,1.5366666666666666,180.2,17.89062141160465,0.0,0.3199999999999999,13.625789281728208,0.26,0.5,3908.0,0.19325,1.305,2.6,0.75,339.5857520912048
12,7.8,4.99733191,2.508239481,7.89,17.4943728583288,3.160183721,221.2333333333333,96.0,0.9,2241.0,-4.4182141175,0.0,1.4933333333333334,174.025,18.55177107804109,0.0,0.1299999999999999,14.562799926908813,0.45,0.5,4656.25,0.09575,1.3175,5.7,0.75,297.5857554260802
13,14.61,6.160132677999999,3.444849839,20.44,31.4767825095422,4.340238825,256.835,111.0,1.11,2465.0,-3.107192378333333,0.0,1.205,222.78,35.29691744051867,0.0,0.74,22.9208095858588,0.26,0.0,1810.0,0.2576666666666666,1.7533333333333332,2.6,0.6666666666666666,297.5857554260802
