,AtomicVolume_difference,CovalentRadii_difference,MiracleRadius_difference,BCCvolume_padiff_composition_average,Electronegativity_min_value,BCCvolume_padiff_arithmetic_average,ICSDVolume_arithmetic_average,ThirdIonizationEnergy_difference,BCCenergy_pa_composition_average,MiracleRadius_min_value,ThermalExpansionCoefficient_arithmetic_average,Density_composition_average,NdUnfilled_composition_average,NUnfilled_composition_average,BCCvolume_padiff_difference,IonicRadii_difference,HeatCapacityMolar_difference,SpaceGroupNumber_composition_average,MeltingT_composition_average,IsChalcogen_composition_average,AtomicVolume_arithmetic_average,HeatFusion_composition_average,IsMetal_composition_average,ElectronAffinity_difference,ThermalConductivity_difference,target
0,25.583209518743097,0.01,0.0,-3.8925,1.93,-3.8925,29.75,1.8299999999999983,-1.88674141,144.0,52.95,7715.0,0.0,1.0,0.0,1.0500000000000005,29.08,144.5,810.8900000000001,0.0,29.86725270926235,9.53,0.5,169.60000000000002,428.551,-1.03874981
1,12.3766632667522,0.0499999999999998,17.0,-3.1541666665,1.69,-3.1541666665,27.7,9.519999999999996,-1.7872287299999998,140.0,24.8,7445.0,0.0,1.0,6.618333333,0.02,0.2899999999999991,173.0,658.44,0.5,27.768357089171097,11.795,0.5,0.0,94.45,-1.03874981
2,18585.20119935352,0.0699999999999999,16.0,-4.425625,2.04,-4.425625,15.15,9.518,-4.511807935,72.0,122.35,1230.6255,0.0,4.0,0.0,1.48,18.037,180.0,1205.525,0.0,9299.898366942043,25.2775,0.0,34.0,26.97402,-2.314437389
3,11.9608620598687,0.2299999999999999,37.0,-4.9834375,1.65,-4.9834375,20.4,4.892000000000003,-2.079940325,103.0,50.1,4550.0,0.0,1.0,10.366875,0.45,2.6900000000000013,132.0,540.52,0.5,21.18611476473685,4.3945,0.5,0.0,115.731,-2.314437389
4,18.7510049877447,0.1100000000000001,0.0,-3.1316666665,1.65,-3.1316666665,24.5,11.762,-1.99560496,140.0,24.5,6690.0,0.0,1.0,6.663333333,0.2299999999999999,0.3399999999999998,173.0,707.67,0.5,24.58118622867485,12.224,0.5,0.0,113.65,-0.285884087
5,18576.9914827546,0.52,76.0,-0.7875,1.65,-0.7875,16.2,15.211999999999996,-1.808421555,64.0,405.1,3570.7145,0.0,1.0,1.975,0.6599999999999999,3.988,103.0,373.74,0.5,9303.701425112102,3.644,0.5,0.0,115.7326,-0.285884087
6,12.0031208910251,0.09,22.0,-2.775,1.65,-2.775,22.45,8.902000000000001,-2.028916305,118.0,37.6,5979.5,0.0,1.0,5.95,0.24,0.027000000000001,104.0,593.3399999999999,0.5,21.20724418031505,6.879,0.5,0.0,113.96,-1.51297481
7,18584.098990033952,0.17,48.0,-0.9325,1.57,-0.9325,12.7,98.959,-3.05751176,64.0,395.65,924.7145,0.0,1.0,0.0,0.95,12.935,103.0,807.4,0.5,9300.147671472423,4.0575,0.5,0.0,199.7326,-1.51297481
8,18572.88845313572,0.51,62.0,-4.353125,1.81,-4.353125,21.1,16.738,-3.517787685,72.0,129.85,2952.6255,0.0,4.0,0.0,1.09,3.0939999999999976,129.0,182.98,0.0,9306.054740050942,2.97,0.5,36.0,40.57402,-1.161881642
9,30.828915536734,0.1600000000000001,0.0,-3.8225,1.9,-3.8225,27.15,3.8299999999999983,-2.348195465,126.0,51.75,6930.0,0.0,1.0,7.665,1.4700000000000002,29.99,144.5,872.31,0.0,27.244399700266897,10.68,0.5,177.0,400.551,-1.161881642
10,20.91635455135646,0.2400000000000001,14.0,-4.7363690475,2.04,-4.7363690475,13.3,7.75,-4.82473373,88.0,65.85,2141.5,0.0,4.0,0.0,0.06,12.737000000000002,84.0,1332.65,0.0,17.75594454096297,34.370000000000005,0.0,44.7,26.765,-0.421723044
11,18581.201305806288,0.4299999999999999,61.0,-0.7899999999999999,1.88,-0.7899999999999999,14.2,21.434,-4.71991909,64.0,396.5,4450.7145,1.5,2.5,1.97,0.7499999999999999,4.568000000000001,103.0,911.4,0.5,9301.596513586255,8.209999999999999,0.5,71.1,99.7326,-0.421723044
12,3.944252699044501,0.3400000000000001,57.0,-5.0884375,1.31,-5.0884375,24.55,45.313,-2.25822999,103.0,47.4,1849.0,0.0,1.0,0.0,0.43,2.1690000000000005,132.0,655.6800000000001,0.5,25.194419445148952,5.1005,0.5,0.0,155.731,-1.481999621
13,3.9865115302009,0.2000000000000001,42.0,-2.88,1.31,-2.88,26.6,49.323,-2.20720597,118.0,34.9,3278.5,0.0,1.0,0.0,0.2199999999999999,0.4939999999999998,104.0,708.5,0.5,25.21554886072715,7.585000000000001,0.5,0.0,153.96,-1.481999621
14,5.586520338876202,0.3899999999999999,54.0,-5.0059375,1.69,-5.0059375,23.6,2.6499999999999986,-1.871564095,103.0,50.4,5305.0,0.0,1.0,10.321875,0.6599999999999999,3.3200000000000003,132.0,491.29,0.5,24.373285625233105,3.9655,0.5,0.0,96.531,-1.160647671
15,10.7343956269205,0.0,20.0,-3.2366666665,1.31,-3.2366666665,28.65,52.183,-2.173894625,140.0,21.8,3989.0,0.0,1.0,0.0,0.25,0.8610000000000007,173.0,822.8299999999999,0.5,28.589490909086948,12.93,0.5,0.0,153.65,-1.160647671
16,13.596998926279198,0.2199999999999999,14.0,-2.015,1.61,-2.015,23.4,3.1469999999999985,-3.77005113,141.0,17.05,4698.5,0.0,4.0,4.91,0.2199999999999999,1.0300000000000011,195.5,918.625,0.0,23.3929239806495,15.25,1.0,56.0,212.7,-1.129250903
17,18305.67709563229,0.1799999999999999,0.0,-1.97375,1.9,-1.97375,20.4,2.780999999999999,-2.29871649,126.0,8.25,4461.607,0.0,1.0,3.9675,1.08,9.508999999999997,144.5,764.685,0.0,9164.66848974805,8.4,0.5,230.5,400.9911,-1.129250903
18,11.191288001321082,0.3400000000000001,33.0,-2.435,1.9,-2.435,12.8,14.395000000000003,-4.88688624,77.0,1.8,2295.0,0.0,4.0,0.0,0.1,11.473,210.5,2755.0,0.0,14.42073371595226,83.805,0.0,11.299999999999995,0.0,-1.105988715
19,30.6978833923386,0.03,0.0,-1.955,1.9,-1.955,38.45,0.8299999999999983,-2.320759535,126.0,8.25,6020.0,0.0,1.0,3.93,1.23,51.25,144.5,811.785,0.0,27.1788836280692,9.4425,0.5,206.3,400.878,-1.105988715
20,18575.90454210129,0.4299999999999999,69.0,-3.674375,1.61,-3.674375,19.6,19.001,-3.85368587,72.0,131.55,1350.6255,0.0,4.0,8.22875,1.17,4.924,209.5,498.26,0.0,9304.546695568157,5.532500000000001,0.5,52.0,236.97402,-1.91264457
21,5.628779170032601,0.25,39.0,-2.7975,1.69,-2.7975,25.65,6.659999999999997,-1.820540075,118.0,37.9,6734.5,0.0,1.0,5.905,0.4499999999999999,0.657,104.0,544.11,0.5,24.3944150408113,6.45,0.5,0.0,94.76,-1.91264457
