,ATS0Z,nHeavyAtom,nF,nHetero,nO,SZ,ATS0dv,ATS0m,ATSC0se,SsF,AATS0se,ATSC0i,SM1_Dzp,ATS2dv,SM1_DzZ,ATS4dv,ATS3dv,AMID_X,ATS0s,AATS1se,target
0,596.0,9,6,6,0,12.333333333333332,330.0,2600.4604358986207,4.748832,64.98958333333333,12.005316,81.08047874473468,-11.989228007181328,394.0,2.0,441.0,168.0,1.1110088984322124,391.375,9.522029600000002,-714.56805
1,522.0,9,3,5,2,12.333333333333334,230.0,2178.92290644931,5.266862999999999,33.82513888888889,9.4934215,65.4540164978929,-8.159202532268967,264.0,1.5,87.0,180.0,0.5561487636020652,278.84027777777777,8.678120799999999,-606.5234
2,520.0,9,3,5,2,11.999999999999996,250.0,2176.8907784493103,4.833851428571427,33.68722222222222,9.889844,65.41237042430033,-8.159202532268967,293.0,1.5,147.0,252.0,0.5552231631031275,292.11805555555554,8.737154769230772,-605.3496
3,520.0,9,3,5,2,11.999999999999996,256.0,2176.8907784493103,4.833851428571427,33.619861111111106,9.889844,65.41237042430033,-8.159202532268967,301.0,1.5,136.0,232.0,0.5561487636020652,268.84027777777777,8.74791107692308,-605.31683
4,518.0,9,3,5,2,11.666666666666664,264.0,2174.8586504493105,4.256502666666666,33.34,10.418407333333333,65.35684232617686,-8.159202532268967,265.0,1.5,213.0,168.0,0.5568180435824632,303.59027777777777,8.81765563636364,-604.14655
5,516.0,9,3,6,1,11.666666666666666,256.0,2167.0186264493104,3.843666666666666,33.3886111111111,10.377660666666666,58.66940407586021,-8.113271904293452,335.0,1.535714285714286,147.0,280.0,0.5552231631031275,292.11805555555554,9.131355272727276,-600.31934
6,508.0,9,3,5,1,12.333333333333334,216.0,2120.1670184493105,5.044150117647058,33.70453231292517,9.144889882352942,66.06411930423101,-7.595090086111634,227.0,1.3928571428571432,60.0,116.0,0.5578468839468658,250.5625,8.50401075,-586.63715
7,506.0,9,3,5,1,11.999999999999996,236.0,2118.1348904493098,4.7123696,33.58291666666666,9.468413333333334,65.9899207314297,-7.595090086111634,255.0,1.3928571428571432,104.0,152.0,0.5571526835726623,245.84027777777777,8.624180857142859,-585.46
8,506.0,9,3,5,1,11.999999999999996,232.0,2118.13489044931,4.7123696,35.04,9.468413333333334,65.98992073142972,-7.595090086111634,299.0,1.3928571428571428,126.0,189.0,0.5570299347307596,233.875,8.629350933333336,-585.4231
9,504.0,9,3,5,1,11.666666666666666,246.0,2116.1027624493104,4.278502769230769,34.66722222222222,9.89148246153846,65.89289182853567,-7.595090086111634,314.0,1.3928571428571428,168.0,200.0,0.5608847394030337,226.84027777777777,8.777905846153848,-584.265
