,nH,nAtom,ATS2i,ATS3i,ETA_epsilon_5,AATSC0s,ATS3p,NssssC,StCH,NssCH2,NaaCH,GATS1i,TIC0,SMR_VSA7,NaaO,ATS3d,ETA_dEpsilon_D,SMR_VSA6,EState_VSA10,SlogP_VSA2,target
0,0,4,327.31665246000006,211.24006281,0.9,3.0625,1.2100000000000002,0,0.0,0,0,1.0,4.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.015951
1,2,4,306.2450954258,184.91765202424895,0.7,2.25,0.4446129048489999,0,8.0,0,0,1.0,4.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.026841
2,0,8,2081.1801638325,1214.18452764,1.0916666666666666,0.4635416666666666,5.948800000000001,0,0.0,0,0,0.9285706220783756,12.0,0.0,2,24.0,0.0,0.0,0.0,20.740096705560624,0.033197
3,0,9,1858.86490789,1769.3372905650003,1.0481481481481485,2.996570644718793,13.71342,0,0.0,0,0,0.9340885042021506,13.77443751081734,16.04773207397229,1,35.0,0.0,0.0,4.794537184071822,15.526711609905757,0.034898
4,0,8,1678.7359495225,1040.5732767400002,1.0875,3.298177083333333,8.441980000000001,0,0.0,0,0,1.3050524078810717,12.490224995673064,16.507643352353163,2,19.0,0.0,0.0,4.794537184071822,5.156663257125445,0.036958
5,1,8,1839.88088048245,1230.2748244942002,1.0904761904761904,2.8780381944444446,8.45489661,0,0.0,0,1,1.650402571634803,15.245112497836532,16.87792008106582,1,23.0,0.0,0.0,4.794537184071822,15.35402687372752,0.038631
6,0,9,2099.380074595,1479.6086282699998,1.2148148148148148,5.746913580246913,7.991548000000001,0,0.0,0,0,1.729073721073832,12.919684538544,20.731237699092823,2,28.0,0.0,0.0,14.908855452837392,10.079974305943116,0.04071
7,1,9,2060.0038044258,2086.272718614,1.130952380952381,5.352537722908092,10.952181972999998,0,0.0,0,1,0.9015118947880312,19.774437510817343,22.434187915808774,1,32.0,0.0,0.0,9.184952231746642,10.370048352780312,0.041998
8,1,9,2212.6176607629,1733.6117813579,1.2136904761904763,8.666323731138545,9.37249631,1,4.138634259259259,0,0,0.9577121452822902,15.77443751081734,0.0,0,17.0,0.0,0.0,17.96578232709628,11.959543463808414,0.042811
9,1,8,1636.8040964642005,1224.84903401035,0.980952380952381,2.0069444444444446,8.774984596000001,0,0.0,0,1,0.8653882014871799,14.490224995673064,11.95709099048752,1,18.0,0.0,0.0,0.0,10.370048352780312,0.044061
10,3,6,1071.914255057499,740.203857440798,0.7733333333333332,4.88888888888889,1.958761781698,0,0.0,0,0,1.9500724668364613,10.754887502163466,0.0,0,4.0,0.3155555555555556,0.0,0.0,6.410095306116121,0.045279
