smiles,logP
CC(=O)Nc1cc(c(O)cc1)C(C)(C)C,2.605
N[C@@H](CCC(N)=O)C(O)=O,-3.395
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C#C,3.355
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,2.585
CC(=O)Nc1cc(C(C)C)c(O)cc1,1.955
Cc1cc(NC(C)=O)c(C)cc1O,0.845
CC(=O)Nc1c(C)c(C)c(O)cc1,0.815
CC(=O)Nc1c(C)cc(O)cc1C,0.555
CC(=O)Nc1ccc(O)c(C)c1,1.035
CC(=O)Nc1c(C)c(C)c(O)cc1C,0.995
CN(C)C(=O)c1ccc[n]c1S(=O)(=O)NC(=O)Nc1[n]c(cc([n]1)OC)OC,0.255
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)C(=O)N1,1.715
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,-0.245
CC(=O)Nc1c(C)c(C)c(O)c(C)c1C,1.1949999999999998
CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,-1.6549999999999998
CC(=O)Nc1ccc(O)cc1C,0.415
[O-][n+]1ccccc1,-1.4449999999999998
COC(C)(C)C,1.185
CC(=O)Nc1cc(C)c(O)c(C)c1,1.355
[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,4.135
CC(=O)Nc1cc(CC)c(O)c(CC)c1,2.115
[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[C@@H:7]([O:8][C:9]1=[CH:15][CH:14]=[C:12]([Cl:13])[CH:11]=[CH:10]1)[N:16]1[CH:17]=[N:18][CH:19]=[N:20]1,3.015
c1c(C(C)(C)C)c(O)cc(C)c1NC(=O)C,2.425
C1(=O)NC(=O)NC(=O)C1(C(C)CC)CC(Br)=C,1.96
CC(=O)Nc1c(C)c(C)c(O)c(C)c1,1.06
CC(C)=O,0.0
OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(O)C=C1,2.6500000000000004
CC(=O)Nc1cc(CC)c(O)cc1,1.55
NC(=O)c1c(Cl)cccc1Cl,1.01
OC(=O)C1=CC=CC=C1,2.004
Clc1cccc(Cl)c1-c1ccccc1,5.218
[O-][N+](=O)c1cc(c(O)c(c1)[N+]([O-])=O)[N+]([O-])=O,1.22
CCOP(=S)(Oc1cc(Cl)c(Br)cc1Cl)OCC,5.915
CC1=CC(O)=C(C)C(C)=C1,2.965
CC(C)CC(C)N,1.435
NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,-1.165
Clc1ccc(cc1)-c1cc(Cl)c(Cl)cc1Cl,6.4350000000000005
CCCCCCCCCCO,4.253333333333333
Clc1cc(Cl)cc(c1)-c1cc(Cl)cc(Cl)c1,6.5325
c1c2ccc3ccccc3c2cc2c3ccccc3ccc21,6.8293333333333335
Cc1c(C)cccc1C,3.766333333333333
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,2.733333333333333
NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,2.43
ClC1C=CC(Cl)C(Cl)C1Cl,3.332
O=C(O)c(c(O)ccc1Br)c1,3.1766666666666663
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)cc1,6.452500000000001
[O-][N+](=O)c1cccc2[n]cccc12,1.63
CN(C(=O)C(Cl)Cl)C1=CC=C(O)C=C1,2.01
NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.7
CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,4.35
CCCC(=O)OCC(CC1=CN=CN1C)C(CC)C(=O)OCC1=CC=C(C)C=C1,4.1
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,6.8100000000000005
O=C(NC(C)CC)C=C(Br)c(cccc1)c1,3.335
Clc1cc2Oc3ccccc3Oc2cc1,5.225
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-2.875
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.734999999999999
CCCCCCCCC(=O)OC,4.095000000000001
COCCN(C(=O)CCl)c1c(C)cccc1C,2.395
c1cc2N=NN(CCCCC(=O)O)c2cc1,0.7050000000000001
N1C=CC(=O)C(O)=C1CC,-0.175
NC(N)=O,-1.885
[Cl-].C[N+](C)=C1C=CC(C=C1)=C(c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C,0.735
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,2.575
CCOC(=O)C(=C1SC=CS1)C(=O)OCC,2.675
CC1(C)[C@H]2C[C@@H](O)[C@]1(C)CC2,2.97
CC(C)NC[C@@H](O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1,2.583333333333333
N[Pt](N)(Cl)Cl,-2.1677777777777774
