smiles,log10_N2_Bayesian
*/C(=C(\*)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1)c1ccccc1,1.8202407185
*/C(=C(\*)c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1)c1ccccc1,2.204119983
*/C(=C(\*)c1ccc(-c2ccccc2)cc1)c1ccccc1,1.812913357
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,1.361727836
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,2.322219295
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccccc1,2.86619688
*/C(=C(\*)c1ccc(C(C)C)cc1)c1ccccc1,2.176091259
*/C(=C(\*)c1ccc(CCCC)cc1)c1ccccc1,1.041392685
*/C(=C(\*)c1ccc(C[Si](C)(C)C)cc1)c1ccccc1,1.643452676
*/C(=C(\*)c1ccc(O[Si](C)(C)C(C)(C)C)cc1)c1ccc(F)cc1,1.734468903
*/C(=C(\*)c1ccc(S(=O)(=O)O)cc1)c1ccc(C(C)(C)C)cc1,1.041392685
*/C(=C(\*)c1ccc(S(=O)(=O)O)cc1)c1ccc(S(=O)(=O)O)cc1,-0.552841969
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,2.397940009
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,2.591064607
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,2.740362689
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)(C)C)cc1,0.875061263
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1,0.959041392
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(CCCC)cc1,0.897627091
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccccc1,1.041392685
*/C(=C(\*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,4.0085166695000005
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,4.117271296
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,3.963787827
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,3.612783857
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,3.963787827
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,4.220108088
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,4.193124598
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cccc(F)c1,4.079181246
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,4.064457989
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,3.431363764
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,3.041392685
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,3.531478917
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,3.230448921
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,3.544068044
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,3.397940009
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,3.707570176
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,3.672097858
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,2.300486448
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cccc(F)c1,3.62324929
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,3.3921905472500002
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,2.73239376
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,2.672900166333333
*/C(=C(\*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,2.230448921
*/C(=C(\*)c1ccc2c(c1)CCC2)c1ccccc1,1.477121255
*/C(=C(\*)c1cccc(O)c1)c1ccc(C(C)(C)C)cc1,2.322219295
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,3.113943352
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc([Si](C)(C)C)cc1,2.633468456
*/C(=C(\*)c1ccccc1)c1ccccc1,2.86923172
*/C=C/CC*,1.502273814
*=CC1CC(C=*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,2.0
*C(*)(F)F,-1.5169336423636361
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3C)cc2)(C(F)(F)F)C(F)(F)F)cc1,-0.156530111
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.413883214
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,-1.278276514
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)c(C)c2)cc1C,-0.595868759
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,-1.415014352
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,-0.791058354
*C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,-1.09437912
*C(=O)Oc1c(C)cc(C(c2cc(C)c(OC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)c(C)c2)(C(F)(F)F)C(F)(F)F)cc1C,0.738188985
*C(=O)Oc1ccc(C(c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.463175352
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(*)cc4C3=O)c(C)c1C)C2=O,0.4403482
*C(C)=C(*)[Si](C)(C)C,3.4446480088750002
*C(C)=C(*)[Si](C)(C)C(C)C,2.230448921
*C(C)=C(*)[Si](C)(C)CC,2.5163093805
*C(C)=C(*)[Si](C)(C)CCC,1.4392608980000001
*C(C)=C(*)[Si](C)(C)CCCC,0.903089987
*C(C)=C(*)[Si](C)(C)CCCCCC,0.672097858
*C(C)=C(*)[Si](C)(C)CCCCCCCC,1.278753601
*C(C)=C(*)[Si](C)(C)c1ccccc1,0.079181246
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,2.0
*C(Cl)=C(*)c1ccccc1,0.230448921
*C(F)(F)C(*)(F)Cl,-1.077910719875
*C*,0.11051287878333335
*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,2.591064607
*C1C2CC(C1*)C([Si](C)(C)C)C2,3.0050770355000003
*C1CCCCC1*,4.301029996
*C=C(*)C(C)(C)C,1.68528789975
*C=C(*)c1cc(C(F)(F)F)oc1C(F)(F)F,1.591064607
*C=C(*)c1cc(C(F)(F)F)sc1C(F)(F)F,1.342422681
*C=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1,0.880813592
*C=CC1CC(*)C([Si](C)(C)C)C1,0.857332496
*C=CC1CC(*)C([Si](C)(C)C[Si](C)(C)C)C1,0.568201724
*C=CC1CCC(*)C1,0.176091259
*C=CCC*,1.20169120525
*C=CCCC*,2.0
*C=Cc1ccc(*)cc1[Si](C)(C)C(C)(C)C,0.176091259
*C=Cc1ccc(*)cc1[Si](C)(C)CCCC,0.041392685
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCC,0.591064607
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCCCCCCCCCCCCC,0.653212514
*C=Cc1ccc(*)cc1[Si](CC)(CC)CC,0.255272505
*CC(*)(C)C,0.15632363466666668
*CC(*)(C)C#N,-3.942297585
*CC(*)(C)C(=O)OC,-1.4711614615
*CC(*)(C)C(=O)OCC,-0.657577319
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCC)cc2)cc1,1.85229698
*CC(*)(C)C(=O)OCCO,0.1191292764
*CC(*)(Cl)Cl,-2.8190226245714283
*CC(*)(F)F,-1.8018311652
*CC(*)C,-0.4158753898125
*CC(*)C#N,-4.0824789809999995
*CC(*)C(=O)OC,-0.619788758
*CC(*)C(=O)OCC,0.810232518
*CC(*)C(=O)OCCCCCCCCCC,1.278753601
*CC(*)C(=O)OCCCCCCCCCCCCCC,1.344392274
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,1.463892989
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,1.556302501
*CC(*)C(C)=O,-0.953425183
*CC(*)CC(C)C,0.9383149494999999
*CC(*)CCCC,4.431363764
*CC(*)Cl,-1.4764943837333333
*CC(*)F,-2.045757491
*CC(*)N1CCCC1=O,-2.479299755
*CC(*)O,-0.4602308997692308
*CC(*)OC,-0.02482618
*CC(*)OC(=O)C1CCCCC1,-0.317961899
*CC(*)OC(=O)c1ccc(C(C)C)cc1,0.133588963
*CC(*)OC(=O)c1ccc(C)cc1,-0.411522095
*CC(*)OC(=O)c1ccccc1,-0.440230074
*CC(*)OC(C)=O,-0.88988198975
*CC(*)OC1C2CC3CC(C2)CC1C3,0.227886705
*CC(*)OC1CC2CCC1C2,0.0307262395
*CC(*)OC1CCCCC1,-0.004364805
*CC(*)OCC,-1.744727495
*CC(*)OCC1CC2CC1C1CCCC21,-0.886056648
*CC(*)OCC1CCCCC1,-0.397940009
*CC(*)OCc1ccccc1,-0.102372909
*CC(*)[Si](C)(C)C,1.0198465455
*CC(*)c1ccccc1,-0.2834403471764706
*CC(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,-1.704716864
*CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1,-1.516409745
*CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,-1.344196644
*CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2)cc1,-0.954940925
*CC(=O)Nc1ccc(Oc2cccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)c2)cc1,-1.387348248
*CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,-1.183095003
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)CN(C)C,-1.886056648
*CC(C)(COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1)CN(C)C,-1.853871964
*CC(C)O*,-0.84491603975
*CC(CCl)O*,-0.356547324
*CC(CO*)(CS(C)(=O)=O)CS(C)(=O)=O,-2.546095929
*CC(COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl)OC(C)=O,-1.604186602
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CC,-1.228139354
