,smiles,homo
0,C,-0.3877
1,N,-0.257
2,O,-0.2928
3,C#C,-0.2845
4,C#N,-0.3604
5,C=O,-0.267
6,CC,-0.3385
7,CO,-0.2653
8,CC#C,-0.2609
9,CC#N,-0.3264
10,CC=O,-0.254
11,C(=O)N,-0.2543
12,CCC,-0.323
13,CCO,-0.2619
14,COC,-0.2525
15,C1CC1,-0.2888
16,C1CO1,-0.2682
17,CC(=O)C,-0.2431
18,CC(=O)N,-0.2436
19,C(=O)(N)N,-0.2495
20,CC(C)C,-0.3167
21,CC(C)O,-0.2612
22,C#CC#C,-0.2599
23,C#CC#N,-0.3102
24,C(#N)C#N,-0.3696
25,C#CC=O,-0.2777
26,C(=O)C#N,-0.3166
27,C(=O)C=O,-0.2668
28,CC#CC,-0.2412
29,CCC#C,-0.2592
30,CCC#N,-0.3213
31,C(C#N)N,-0.2683
32,C#CCO,-0.2595
33,C(C#N)O,-0.3018
34,CCC=O,-0.25
35,CNC=O,-0.2516
36,COC=O,-0.2814
37,C(C=O)O,-0.2537
38,CCCC,-0.317
39,CCCO,-0.2619
40,CCOC,-0.2503
41,C(CO)O,-0.2594
42,CC1CC1,-0.2727
43,CC1CO1,-0.2633
44,CN1CC1,-0.2304
45,C1CC1O,-0.239
46,C1CCC1,-0.2982
47,C1COC1,-0.2424
48,CC(=NO)C,-0.2392
49,c1cc[nH]c1,-0.2029
50,c1cnc[nH]1,-0.2253
51,c1ccoc1,-0.2246
52,c1cocn1,-0.2509
53,CC(C)(C)C,-0.3145
54,CC(C)(C)O,-0.2601
55,CC(=O)C#C,-0.2654
56,CC(=O)C#N,-0.3007
57,C(#N)C(=N)N,-0.2739
58,C#CC(=O)N,-0.2629
59,CC(=O)C=O,-0.2538
60,C(=O)C(=N)N,-0.2561
61,C(=O)C(=O)N,-0.2533
62,CC(C)C#C,-0.2589
63,CC(C)C#N,-0.318
64,CC(N)C#N,-0.2704
65,CC(O)C#C,-0.2665
66,CC(O)C#N,-0.3051
67,CC(C)C=O,-0.2469
68,CC(O)C=O,-0.255
69,CN(C)C=O,-0.2424
70,CC(=O)CO,-0.2699
71,CCC(=O)C,-0.2423
72,CCC(=O)N,-0.2438
73,CC(=O)NC,-0.2418
74,CNC(=O)N,-0.2436
75,COC(C)=N,-0.2595
76,CC(=O)OC,-0.2685
77,COC(=O)N,-0.2669
78,C(C(=O)N)O,-0.246
79,[NH3+]CC([O-])=O,-0.2527
80,CC(C)CO,-0.2629
81,CC(O)CO,-0.2597
82,CCC(C)C,-0.3085
83,CCC(C)O,-0.2617
84,CC(C)OC,-0.2476
85,CC1(CC1)C,-0.2633
86,CC1(CO1)C,-0.2596
87,CC1(CC1)O,-0.2494
88,N=C1CCO1,-0.263
89,C1CC(=O)C1,-0.2415
90,C1CNC1=O,-0.25
91,C1COC1=O,-0.2788
92,C1C(=O)CN1,-0.2437
93,C1C(=O)CO1,-0.2647
94,CC1CCC1,-0.2896
95,CC1CCO1,-0.241
96,CC1COC1,-0.2419
97,C1CC(C1)O,-0.256
98,C1C(CO1)O,-0.2465
99,CC1CC1C,-0.2632
100,CC1CC1O,-0.2518
101,CC1CN1C,-0.2199
102,CC1OC1C,-0.2573
103,OC1CC1O,-0.2369
104,C1C2CC1C2,-0.2974
105,C1C2CC1O2,-0.2352
106,C#CCC#C,-0.2633
107,C#CCC#N,-0.2911
108,C(C#N)C#N,-0.3494
109,C#CCC=O,-0.2583
110,C(C=O)C#N,-0.2868
111,C(=N)NC=O,-0.2491
112,N=COC=O,-0.2934
113,C(=O)NC=O,-0.2608
114,CC#CC#C,-0.242
115,CC#CC#N,-0.2871
116,CC#CC=O,-0.2642
117,CC#CCO,-0.2421
118,CCC#CC,-0.2401
119,CN=COC,-0.2481
120,CCCC#C,-0.2586
121,CCCC#N,-0.3185
122,CNCC#N,-0.249
123,COCC#C,-0.2565
124,COCC#N,-0.2859
125,C#CCCO,-0.2624
126,C(CO)C#N,-0.2914
127,CCCC=O,-0.2487
128,CCNC=O,-0.2499
129,CCOC=O,-0.2778
130,COCC=O,-0.2577
131,C(CO)C=O,-0.2536
132,CCCCC,-0.3105
133,CCCCO,-0.2615
134,CCCOC,-0.25
135,CCOCC,-0.2483
136,COCCO,-0.261
137,C(CO)CO,-0.2607
138,C#CC1CC1,-0.2425
139,C#CC1CN1,-0.2422
140,C#CC1CO1,-0.265
141,C1CC1C#N,-0.2931
142,N#CC1CN1,-0.2775
143,N#CC1CO1,-0.3077
144,C1CC1C=O,-0.2486
145,O=CC1CN1,-0.2639
146,O=CC1CO1,-0.2636
147,C1CN1C=O,-0.2555
148,CCC1CC1,-0.2723
149,CCC1CO1,-0.2623
150,CCN1CC1,-0.2299
151,COC1CC1,-0.244
152,C1CC1CO,-0.2601
153,OCC1CN1,-0.2436
154,OCC1CO1,-0.2641
155,C1CC=CC1,-0.2335
156,C1COC=N1,-0.2479
157,C1C=CCO1,-0.2303
158,C1CCCC1,-0.3078
159,C1CCOC1,-0.2479
160,C1COCO1,-0.2572
161,C1C2CCC12,-0.2519
162,C1C2COC12,-0.2337
163,C1CC2OC12,-0.2517
164,c1c[nH]nc1,-0.2438
165,c1cnn[nH]1,-0.2641
166,c1[nH]ncn1,-0.2705
167,c1[nH]cnn1,-0.2551
168,c1cn[nH]n1,-0.2742
169,c1cnoc1,-0.2677
170,c1conn1,-0.2862
171,c1ncon1,-0.3054
172,c1nnco1,-0.2889
173,c1nnno1,-0.331
174,c1cnon1,-0.3213
175,c1nnon1,-0.3379
176,n1nnon1,-0.3671
177,CC(=NO)C#C,-0.2383
178,CC(=NO)CO,-0.2502
179,CCC(=NO)C,-0.239
180,C1CC(=NO)C1,-0.2405
181,C1C(=NO)CN1,-0.23
182,C1C(=NO)CO1,-0.2498
183,C(F)(F)(F)F,-0.4286
184,N=C1NC=CO1,-0.1947
185,N=C1OC=CO1,-0.2262
186,c1c[nH]c(=O)[nH]1,-0.1951
187,c1coc(=O)[nH]1,-0.2215
188,c1coc(=O)o1,-0.253
189,Cc1ccc[nH]1,-0.1934
190,Cc1ccco1,-0.2124
191,Cc1cnco1,-0.2364
192,Cc1ncco1,-0.2371
193,c1cc([nH]c1)N,-0.185
194,c1cc(oc1)N,-0.1844
195,c1c(ocn1)N,-0.2049
196,c1coc(n1)N,-0.2088
197,c1cc([nH]c1)O,-0.1814
198,c1c([nH]cn1)O,-0.2022
199,c1cnc([nH]1)O,-0.2051
200,Cc1cc[nH]c1,-0.1982
201,Cc1c[nH]cn1,-0.2157
202,Cc1ccoc1,-0.2183
203,Cc1cocn1,-0.2395
204,c1c[nH]cc1N,-0.1741
205,c1c(nc[nH]1)N,-0.1849
206,c1cocc1N,-0.1947
207,c1c(nco1)N,-0.2057
208,c1c[nH]cc1O,-0.1864
209,c1c(nc[nH]1)O,-0.2006
210,c1c(nco1)O,-0.2242
211,Cn1cccc1,-0.2006
212,Cn1ccnc1,-0.2216
213,c1ccccc1,-0.2475
214,c1ccncc1,-0.2518
215,c1cnccn1,-0.2493
216,c1cncnc1,-0.2531
217,c1ncncn1,-0.2768
218,CC(C)(C)C#C,-0.2585
219,CC(C)(C)C#N,-0.3156
220,CC(C)(C#N)N,-0.2675
221,CC(C)(C#C)O,-0.2589
222,CC(C)(C#N)O,-0.2931
223,CC(C)(C)C=O,-0.247
224,CC(C)(C=O)O,-0.2523
225,CC(C)(C)CO,-0.2638
226,CC(C)(CO)O,-0.2619
227,CCC(C)(C)C,-0.3031
228,CCC(C)(C)O,-0.2601
229,CC(C)(C)OC,-0.2455
230,CC#CC(=O)C,-0.2532
231,CC#CC(=O)N,-0.2502
232,CC#CC(C)C,-0.2404
