,smiles,lumo
0,C,0.1171
1,N,0.0829
2,O,0.0687
3,C#C,0.0506
4,C#N,0.0191
5,C=O,-0.0406
6,CC,0.1041
7,CO,0.0784
8,CC#C,0.0613
9,CC#N,0.0376
10,CC=O,-0.0198
11,C(=O)N,0.0302
12,CCC,0.0949
13,CCO,0.0798
14,COC,0.091
15,C1CC1,0.1042
16,C1CO1,0.1042
17,CC(=O)C,-0.0087
18,CC(=O)N,0.0347
19,C(=O)(N)N,0.0556
20,CC(C)C,0.0843
21,CC(C)O,0.074
22,C#CC#C,-0.0214
23,C#CC#N,-0.0543
24,C(#N)C#N,-0.0926
25,C#CC=O,-0.0735
26,C(=O)C#N,-0.11
27,C(=O)C=O,-0.1113
28,CC#CC,0.0684
29,CCC#C,0.0566
30,CCC#N,0.034
31,C(C#N)N,0.0173
32,C#CCO,0.0277
33,C(C#N)O,0.0022
34,CCC=O,-0.0205
35,CNC=O,0.0335
36,COC=O,0.0074
37,C(C=O)O,-0.0341
38,CCCC,0.0937
39,CCCO,0.081
40,CCOC,0.0925
41,C(CO)O,0.0584
42,CC1CC1,0.1012
43,CC1CO1,0.1052
44,CN1CC1,0.0968
45,C1CC1O,0.0775
46,C1CCC1,0.0956
47,C1COC1,0.0859
48,CC(=NO)C,0.0192
49,c1cc[nH]c1,0.0499
50,c1cnc[nH]1,0.0332
51,c1ccoc1,0.0199
52,c1cocn1,0.001
53,CC(C)(C)C,0.0737
54,CC(C)(C)O,0.0664
55,CC(=O)C#C,-0.0575
56,CC(=O)C#N,-0.0889
57,C(#N)C(=N)N,-0.0438
58,C#CC(=O)N,-0.0277
59,CC(=O)C=O,-0.0964
60,C(=O)C(=N)N,-0.064
61,C(=O)C(=O)N,-0.0763
62,CC(C)C#C,0.0571
63,CC(C)C#N,0.0365
64,CC(N)C#N,0.0278
65,CC(O)C#C,0.0336
66,CC(O)C#N,0.0115
67,CC(C)C=O,-0.0188
68,CC(O)C=O,-0.0279
69,CN(C)C=O,0.0327
70,CC(=O)CO,-0.0262
71,CCC(=O)C,-0.0072
72,CCC(=O)N,0.0355
73,CC(=O)NC,0.0387
74,CNC(=O)N,0.0599
75,COC(C)=N,0.0352
76,CC(=O)OC,0.0174
77,COC(=O)N,0.0575
78,C(C(=O)N)O,0.0273
79,[NH3+]CC([O-])=O,0.0208
80,CC(C)CO,0.0789
81,CC(O)CO,0.0631
82,CCC(C)C,0.085
83,CCC(C)O,0.0733
84,CC(C)OC,0.086
85,CC1(CC1)C,0.0893
86,CC1(CO1)C,0.091
87,CC1(CC1)O,0.0776
88,N=C1CCO1,0.0277
89,C1CC(=O)C1,-0.0194
90,C1CNC1=O,0.038
91,C1COC1=O,0.0089
92,C1C(=O)CN1,-0.0258
93,C1C(=O)CO1,-0.0352
94,CC1CCC1,0.0927
95,CC1CCO1,0.0915
96,CC1COC1,0.0814
97,C1CC(C1)O,0.0801
98,C1C(CO1)O,0.0604
99,CC1CC1C,0.094
100,CC1CC1O,0.0822
101,CC1CN1C,0.0931
102,CC1OC1C,0.0984
103,OC1CC1O,0.0642
104,C1C2CC1C2,0.1082
105,C1C2CC1O2,0.0994
106,C#CCC#C,0.0345
107,C#CCC#N,0.0111
108,C(C#N)C#N,-0.0151
109,C#CCC=O,-0.0337
110,C(C=O)C#N,-0.0568
111,C(=N)NC=O,-0.0216
112,N=COC=O,-0.0298
113,C(=O)NC=O,-0.0416
114,CC#CC#C,-0.0085
115,CC#CC#N,-0.0377
116,CC#CC=O,-0.0592
117,CC#CCO,0.0368
118,CCC#CC,0.0631
119,CN=COC,0.0251
120,CCCC#C,0.0583
121,CCCC#N,0.0365
122,CNCC#N,0.0208
123,COCC#C,0.0324
124,COCC#N,0.008
125,C#CCCO,0.0549
126,C(CO)C#N,0.0323
127,CCCC=O,-0.0195
128,CCNC=O,0.0335
129,CCOC=O,0.0091
130,COCC=O,-0.0282
131,C(CO)C=O,-0.0285
132,CCCCC,0.0925
133,CCCCO,0.0813
134,CCCOC,0.0926
135,CCOCC,0.0931
136,COCCO,0.0821
137,C(CO)CO,0.0779
138,C#CC1CC1,0.0503
139,C#CC1CN1,0.0322
140,C#CC1CO1,0.0189
141,C1CC1C#N,0.0289
142,N#CC1CN1,0.0076
143,N#CC1CO1,-0.0072
144,C1CC1C=O,-0.0157
145,O=CC1CN1,-0.0381
146,O=CC1CO1,-0.0418
147,C1CN1C=O,-0.0013
148,CCC1CC1,0.0986
149,CCC1CO1,0.0976
150,CCN1CC1,0.095
151,COC1CC1,0.0955
152,C1CC1CO,0.079
153,OCC1CN1,0.0677
154,OCC1CO1,0.0777
155,C1CC=CC1,0.0325
156,C1COC=N1,0.0241
157,C1C=CCO1,0.0188
158,C1CCCC1,0.0844
159,C1CCOC1,0.0825
160,C1COCO1,0.0865
161,C1C2CCC12,0.0987
162,C1C2COC12,0.0853
163,C1CC2OC12,0.0951
164,c1c[nH]nc1,0.0239
165,c1cnn[nH]1,-0.0023
166,c1[nH]ncn1,0.0059
167,c1[nH]cnn1,0.0164
168,c1cn[nH]n1,-0.0055
169,c1cnoc1,-0.0138
170,c1conn1,-0.044
171,c1ncon1,-0.0335
172,c1nnco1,-0.0178
173,c1nnno1,-0.0643
174,c1cnon1,-0.0515
175,c1nnon1,-0.0815
176,n1nnon1,-0.1073
177,CC(=NO)C#C,-0.0315
178,CC(=NO)CO,0.0066
179,CCC(=NO)C,0.0173
180,C1CC(=NO)C1,0.0074
181,C1C(=NO)CN1,0.0026
182,C1C(=NO)CO1,-0.0046
183,C(F)(F)(F)F,0.1935
184,N=C1NC=CO1,0.0288
185,N=C1OC=CO1,0.0118
186,c1c[nH]c(=O)[nH]1,0.0406
187,c1coc(=O)[nH]1,0.0207
188,c1coc(=O)o1,0.0027
189,Cc1ccc[nH]1,0.0496
190,Cc1ccco1,0.0239
191,Cc1cnco1,0.0066
192,Cc1ncco1,0.0082
193,c1cc([nH]c1)N,0.0556
194,c1cc(oc1)N,0.0397
195,c1c(ocn1)N,0.0202
196,c1coc(n1)N,0.0284
197,c1cc([nH]c1)O,0.0635
198,c1c([nH]cn1)O,0.0448
199,c1cnc([nH]1)O,0.0505
200,Cc1cc[nH]c1,0.0533
201,Cc1c[nH]cn1,0.0376
202,Cc1ccoc1,0.025
203,Cc1cocn1,0.0074
204,c1c[nH]cc1N,0.0558
205,c1c(nc[nH]1)N,0.0391
206,c1cocc1N,0.029
207,c1c(nco1)N,0.0107
208,c1c[nH]cc1O,0.05
209,c1c(nc[nH]1)O,0.0315
210,c1c(nco1)O,0.001
211,Cn1cccc1,0.0463
212,Cn1ccnc1,0.0324
213,c1ccccc1,0.0029
214,c1ccncc1,-0.0225
215,c1cnccn1,-0.0511
216,c1cncnc1,-0.0415
217,c1ncncn1,-0.0554
218,CC(C)(C)C#C,0.0629
219,CC(C)(C)C#N,0.0438
220,CC(C)(C#N)N,0.0349
221,CC(C)(C#C)O,0.0425
222,CC(C)(C#N)O,0.0216
223,CC(C)(C)C=O,-0.0179
224,CC(C)(C=O)O,-0.0258
225,CC(C)(C)CO,0.0725
226,CC(C)(CO)O,0.0727
227,CCC(C)(C)C,0.0748
228,CCC(C)(C)O,0.0658
229,CC(C)(C)OC,0.079
230,CC#CC(=O)C,-0.0449
231,CC#CC(=O)N,-0.016
232,CC#CC(C)C,0.0633
233,CC#CC(C)O,0.0416
234,CC(=O)CC#C,-0.0185
235,CC(=O)CC#N,-0.037
236,C#CCC(=O)N,0.0244
237,C(C#N)C(=O)N,0.0051
238,CC(=N)NC=O,-0.0177
239,CC(=N)OC=O,-0.0251
240,CC(=O)CC=O,-0.0381
241,CC(=O)NC=N,-0.0114
242,CC(=O)NC=O,-0.0298
243,CC(=O)OC=N,-0.0235
244,C(=O)NC(=N)N,-0.0146
245,C(C=O)C(=O)N,-0.0278
246,C(=N)NC(=O)N,0.0042
247,C(=O)NC(=O)N,-0.0128
248,NC(=O)OC=N,0.0024
249,CC(C)CC#C,0.0553
250,CC(C)CC#N,0.0346
251,CC(O)CC#C,0.0545
252,CC(O)CC#N,0.0348
253,CN(C)CC#N,0.0217
254,CC(C)CC=O,-0.0197
255,CC(C)NC=O,0.0348
256,CC(C)OC=O,0.0115
257,CC(O)CC=O,-0.0204
258,CN(C)CC=O,-0.0252
259,CC(=O)CCO,-0.0111
260,CCCC(=O)C,-0.0071
261,CCCC(=O)N,0.0359
262,CCNC(=O)C,0.0381
263,CCNC(=O)N,0.0598
264,CCOC(=O)C,0.0196
265,CCOC(=O)N,0.0591
266,C[NH2+]CC([O-])=O,0.0196
267,CC(=O)COC,-0.0102
268,COCC(=O)N,0.0274
269,C(CO)C(=O)N,0.0327
270,[NH3+]CCC([O-])=O,-0.0333
271,CC(C)CCO,0.0807
272,CC(O)CCO,0.0719
273,CCCC(C)C,0.0859
274,CCCC(C)O,0.0739
275,CCOC(C)C,0.0875
276,CC(C)COC,0.0876
277,COCC(C)O,0.0777
