,smiles,mu
0,C,0.0
1,N,1.6256
2,O,1.8511
3,C#C,0.0
4,C#N,2.8937
5,C=O,2.1089
6,CC,0.0
7,CO,1.5258
8,CC#C,0.7156
9,CC#N,3.8266
10,CC=O,2.5682
11,C(=O)N,3.7286
12,CCC,0.0597
13,CCO,1.4131
14,COC,1.1502
15,C1CC1,0.0005
16,C1CO1,1.7675
17,CC(=O)C,2.7362
18,CC(=O)N,3.6367
19,C(=O)(N)N,3.4869
20,CC(C)C,0.0897
21,CC(C)O,1.4259
22,C#CC#C,0.0
23,C#CC#N,3.792
24,C(#N)C#N,0.0023
25,C#CC=O,2.7824
26,C(=O)C#N,2.3112
27,C(=O)C=O,0.002
28,CC#CC,0.0
29,CCC#C,0.7067
30,CCC#N,3.9233
31,C(C#N)N,4.4361
32,C#CCO,1.7211
33,C(C#N)O,4.6788
34,CCC=O,2.6741
35,CNC=O,3.7071
36,COC=O,3.92
37,C(C=O)O,1.7341
38,CCCC,0.0
39,CCCO,1.3402
40,CCOC,1.0363
41,C(CO)O,0.0075
42,CC1CC1,0.1136
43,CC1CO1,1.812
44,CN1CC1,1.1353
45,C1CC1O,1.3894
46,C1CCC1,0.0
47,C1COC1,1.7978
48,CC(=NO)C,0.6875
49,c1cc[nH]c1,1.8689
50,c1cnc[nH]1,3.6193
51,c1ccoc1,0.5571
52,c1cocn1,1.5081
53,CC(C)(C)C,0.0003
54,CC(C)(C)O,1.384
55,CC(=O)C#C,2.8579
56,CC(=O)C#N,3.3351
57,C(#N)C(=N)N,5.1815
58,C#CC(=O)N,3.7167
59,CC(=O)C=O,0.9461
60,C(=O)C(=N)N,2.7707
61,C(=O)C(=O)N,5.1668
62,CC(C)C#C,0.6578
63,CC(C)C#N,3.9512
64,CC(N)C#N,2.7429
65,CC(O)C#C,1.3582
66,CC(O)C#N,3.269
67,CC(C)C=O,2.6921
68,CC(O)C=O,2.8354
69,CN(C)C=O,3.7163
70,CC(=O)CO,2.9514
71,CCC(=O)C,2.6168
72,CCC(=O)N,3.499
73,CC(=O)NC,3.5402
74,CNC(=O)N,3.5648
75,COC(C)=N,1.1876
76,CC(=O)OC,1.7569
77,COC(=O)N,2.329
78,C(C(=O)N)O,4.5676
79,[NH3+]CC([O-])=O,5.3004
80,CC(C)CO,1.3149
81,CC(O)CO,2.2854
82,CCC(C)C,0.0618
83,CCC(C)O,1.3894
84,CC(C)OC,1.0758
85,CC1(CC1)C,0.1068
86,CC1(CO1)C,1.8235
87,CC1(CC1)O,1.3822
88,N=C1CCO1,2.5732
89,C1CC(=O)C1,2.7119
90,C1CNC1=O,3.6671
91,C1COC1=O,3.9339
92,C1C(=O)CN1,2.5257
93,C1C(=O)CO1,0.8477
94,CC1CCC1,0.095
95,CC1CCO1,1.6826
96,CC1COC1,1.8995
97,C1CC(C1)O,1.4604
98,C1C(CO1)O,2.4158
99,CC1CC1C,0.1023
100,CC1CC1O,1.3092
101,CC1CN1C,1.2483
102,CC1OC1C,1.8159
103,OC1CC1O,2.4925
104,C1C2CC1C2,0.0002
105,C1C2CC1O2,1.8725
106,C#CCC#C,0.4777
107,C#CCC#N,3.5925
108,C(C#N)C#N,3.6958
109,C#CCC=O,2.0711
110,C(C=O)C#N,2.172
111,C(=N)NC=O,5.0884
112,N=COC=O,4.2338
113,C(=O)NC=O,5.2904
114,CC#CC#C,1.1881
115,CC#CC#N,5.1545
116,CC#CC=O,3.783
117,CC#CCO,1.2486
118,CCC#CC,0.078
119,CN=COC,2.9091
120,CCCC#C,0.7752
121,CCCC#N,4.0641
122,CNCC#N,4.1469
123,COCC#C,1.3623
124,COCC#N,4.5445
125,C#CCCO,1.3892
126,C(CO)C#N,3.7158
127,CCCC=O,2.7552
128,CCNC=O,3.694
129,CCOC=O,4.0425
130,COCC=O,2.7959
131,C(CO)C=O,1.4229
132,CCCCC,0.0603
133,CCCCO,1.3815
134,CCCOC,0.9755
135,CCOCC,0.9301
136,COCCO,2.2019
137,C(CO)CO,2.7191
138,C#CC1CC1,0.8635
139,C#CC1CN1,1.2763
140,C#CC1CO1,1.7013
141,C1CC1C#N,4.1966
142,N#CC1CN1,2.8377
143,N#CC1CO1,3.6533
144,C1CC1C=O,3.147
145,O=CC1CN1,2.03
146,O=CC1CO1,2.3951
147,C1CN1C=O,3.2517
148,CCC1CC1,0.095
149,CCC1CO1,1.7468
150,CCN1CC1,1.0617
151,COC1CC1,1.0906
