,smiles,sublimation enthalpy_kj/mol
0,C1CCCC1,43.59038934
1,C1C[C@@H]2C([C@H]1CC2)(c1ccc(cc1)C1([C@@H]2CC[C@H]1CC2)c1ccccc1)c1ccccc1,147.9678299
2,CCC,29.6316288
3,CCCC,37.67869164
4,c1cc5c4c(c1)C2CCCCC2c3cccc(c34)C6CCCCC56,136.7513136
5,C1CCC(=C2CCCCC2)CC1,87.3870785
6,C=C(c1ccccc1)C(=C)c1ccccc1,97.66091922
7,C1CC[C@@H]2[C@@H](C1)CCCC2,67.96499655
8,CCc1ccc(cc1)CC,70.43452728
9,c1ccccc1,48.81551281
10,c1ccc2c(c1)cccc2,69.07366064
11,c1cc2ccc3c4c2c(c1)ccc4ccc3,93.60297655
12,C#C,25.819604
13,CC(=C=CC=C=C(C)C)C,77.45541879
14,CCCCCCCCCC,86.53048524
15,C[C@@H]1CC[C@H](CC1)C,60.08585124
16,C1(CCCC1)C,48.54734142
17,CC(C(=CCCC=C(C(C)(C)C)C(C)(C)C)C(C)(C)C)(C)C,122.5374634
18,C1CCC(CC1)c1cc(C2CCCCC2)c(cc1C1CCCCC1)C1CCCCC1,156.4834831
19,c1(c(c(C)c(c(c1C)C)C)C)C,89.88426626
20,c1(ccc(cc1)C12C3C4C5C3C1C5C24)C12C3C4C5C3C1C5C24,127.7970498
21,C12(CCC1)C1(CCC1)C1(C3(CCC3)C3(CCC3)C32CCC3)CCC1,114.0094425
22,c1(cccc2ccc3cccc(c3c12)C)C,93.5103582
23,CC2=CC(C)(C1(C)C=C(C)C(C)=C1C)C(C)=C2C,106.06742
24,c1(c2ccccc2)c(cc(c(c1)c1ccccc1)c1ccccc1)c1ccccc1,147.7550635
25,c1(c2ccccc2)c(cc(c(c1)c1ccccc1)c1ccccc1)c1ccccc1,142.2680543
26,c1ccccc1,46.45266847
27,C=CCCCCC=C,64.56303089
28,C=CCCCCCCC=C,80.75792807
29,C1C2CC3CC(C2)CC1C3,68.74579106
30,c1(ccc(cc1)C(C)(C)C)C(C)(C)C,86.66735688
31,c1(ccccc1)c1c2c(c3ccccc3)c3c(cccc3)c(c3ccccc3)c2c(c2ccccc2)c2ccccc12,183.0402321
32,C(C1=CCC21CC2)CC1=CCC21CC2,99.05758446
33,c1ccc2c(c1)C(=C1\C=Cc3c1cccc3)/C=C2,106.6663631
34,C1(=O)[C@H]2[C@@H](C(=O)O1)[C@H](C=C[C@H]2CCC(=O)CC)c1ccccc1,145.9224956
35,OC[C@@]1(O)[C@@H](O)[C@@H](O)[C@@H]2CC(=O)OC[C@H]12,151.268957
36,O[C@@H]1[C@H]2[C@H]([C@@H](OC(=O)C)C[C@@]2(O)C)C1,111.9231895
37,[C@@H]1([C@H]([C@@H]([C@@H](CO1)O)O)O)OC(C)C,120.088042
38,O1C(=O)OCCC1,76.4438954
39,O1[C@@H](C)C(=O)[C@H]([C@@](O)(C1=O)C)C,82.46255955
40,O1C(=C)C(=O)O[C@H](C1=O)C,75.16555505
41,O=CC1=CC[C@H](C[C@H]1O)C,79.83893088
42,O=C1C(=CC/C1=C\C(=C)C)C,85.30907561
43,Oc1cccc2c1C(=O)c1cccc(c1C2=O)O,107.5933667
44,O1C(=O)C=C[C@H](O)[C@H]1CO,115.5179092
45,CCOC(=O)C(=C\C(=O)OCC)/C(=C/C(=O)OCC)C(=O)OCC,120.86811
46,o1c(=O)cccc1,131.7860356
