,Cement (component 1)(kg in a m^3 mixture),Age (day),Water  (component 4)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),target
0,540.0,28.0,162.0,0.0,2.5,676.0,1040.0,0.0,79.99
1,540.0,28.0,162.0,0.0,2.5,676.0,1055.0,0.0,79.99
2,332.5,270.0,228.0,142.5,0.0,594.0,932.0,0.0,61.89
3,332.5,365.0,228.0,142.5,0.0,594.0,932.0,0.0,61.89
4,198.6,360.0,192.0,132.4,0.0,825.5,978.4,0.0,40.27
5,266.0,90.0,228.0,114.0,0.0,670.0,932.0,0.0,40.27
6,380.0,365.0,228.0,95.0,0.0,594.0,932.0,0.0,41.05
7,380.0,28.0,228.0,95.0,0.0,594.0,932.0,0.0,41.05
8,266.0,28.0,228.0,114.0,0.0,670.0,932.0,0.0,44.3
9,475.0,28.0,228.0,0.0,0.0,594.0,932.0,0.0,44.3
10,198.6,90.0,192.0,132.4,0.0,825.5,978.4,0.0,47.03
11,198.6,28.0,192.0,132.4,0.0,825.5,978.4,0.0,47.03
12,427.5,270.0,228.0,47.5,0.0,594.0,932.0,0.0,43.7
13,190.0,90.0,228.0,190.0,0.0,670.0,932.0,0.0,43.7
14,304.0,28.0,228.0,76.0,0.0,670.0,932.0,0.0,36.45
15,380.0,90.0,228.0,0.0,0.0,670.0,932.0,0.0,36.45
16,139.6,90.0,192.0,209.4,0.0,806.9,1047.0,0.0,45.85
17,342.0,365.0,228.0,38.0,0.0,670.0,932.0,0.0,45.85
18,380.0,90.0,228.0,95.0,0.0,594.0,932.0,0.0,39.29
19,475.0,180.0,228.0,0.0,0.0,594.0,932.0,0.0,39.29
20,427.5,180.0,228.0,47.5,0.0,594.0,932.0,0.0,38.07
21,139.6,28.0,192.0,209.4,0.0,806.9,1047.0,0.0,38.07
