,GSenergy_pa_max_value,GSenergy_pa_min_value,MeltingT_max_value,HeatFusion_min_value,n_ws^third_arithmetic_average,ElasticModulus_arithmetic_average,BCCenergy_pa_max_value,HeatVaporization_max_value,ElasticModulus_composition_average,n_ws^third_max_value,n_ws^third_composition_average,BCCenergy_pa_min_value,MeltingT_composition_average,HHIr_min_value,ElasticModulus_max_value,MeltingT_arithmetic_average,ShearModulus_max_value,BulkModulus_max_value,BoilingT_max_value,HeatFusion_max_value,MeltingT_difference,GSenergy_pa_arithmetic_average,HeatCapacityMolar_min_value,Electronegativity_max_value,phi_max_value,target
0,-2.76539356,-2.76539356,1234.93,11.3,1.36,80.0,-2.71997917,250.63,80.0,1.36,1.36,-2.71997917,1234.93,1400.0,80.0,1234.93,30.0,100.0,2435.0,11.3,0.0,-2.76539356,25.35,1.93,4.35,1.8245
1,-2.76539356,-2.76539356,1768.0,11.3,1.5550000000000002,144.0,-2.71997917,373.3,144.0,1.75,1.5550000000000002,-2.71997917,1501.465,1400.0,208.0,1501.465,75.0,180.0,3200.0,16.2,533.0699999999998,-4.9228913525,24.81,1.93,5.1,1.8245
2,-2.76539356,-2.76539356,2180.0,11.3,1.545,169.5,-2.71997917,339.5,169.5,1.73,1.545,-2.71997917,1707.465,1400.0,259.0,1707.465,115.0,160.0,2944.0,21.0,945.07,-6.13555505,23.35,1.93,4.65,1.734358324
3,-2.76539356,-2.76539356,1357.77,11.3,1.415,102.0,-2.71997917,300.5,102.0,1.47,1.415,-2.71997917,1296.35,1400.0,124.0,1296.35,48.0,140.0,3200.0,13.6,122.83999999999992,-3.2230241900000003,24.44,1.93,4.45,1.734358324
4,-2.76539356,-2.76539356,1811.0,11.3,1.565,145.5,-2.71997917,349.5,145.5,1.77,1.565,-2.71997917,1522.965,1400.0,211.0,1522.965,82.0,170.0,3134.0,13.81,576.0699999999998,-5.52543896,25.1,1.93,4.93,2.0836385440000003
5,-2.76539356,-2.76539356,1519.0,11.3,1.485,139.0,-2.71997917,250.63,139.0,1.61,1.485,-2.71997917,1376.965,1400.0,198.0,1376.965,78.0,120.0,2435.0,12.91,284.06999999999994,-5.892979405169999,25.35,1.93,4.45,2.0836385440000003
6,-2.76539356,-2.76539356,1728.0,11.3,1.5550000000000002,144.0,-2.71997917,377.5,144.0,1.75,1.5550000000000002,-2.71997917,1481.465,1400.0,208.0,1481.465,76.0,180.0,3186.0,17.48,493.07,-4.1558590650000005,25.35,1.93,5.2,1.802299595
7,-2.76539356,-2.76539356,1814.0,11.3,1.315,80.0,-2.71997917,304.8,80.0,1.36,1.315,-2.71997917,1524.465,1400.0,80.0,1524.465,30.0,100.0,3103.0,14.1,579.0699999999998,-4.525453325,25.35,1.93,4.35,1.802299595
8,-2.76539356,-2.76539356,1941.0,11.3,1.44,95.0,-2.71997917,425.2,95.0,1.52,1.44,-2.71997917,1587.965,1400.0,110.0,1587.965,44.0,110.0,3560.0,14.15,706.0699999999998,-5.27031034,25.06,1.93,4.35,2.142172341
9,-2.76539356,-2.76539356,2183.0,11.3,1.5,104.5,-2.71997917,446.7,104.5,1.64,1.5,-2.71997917,1708.965,1400.0,129.0,1708.965,47.0,160.0,3680.0,21.5,948.07,-5.852327125,24.89,1.93,4.35,2.142172341
10,-2.76539356,-2.76539356,1234.93,7.068,1.34,87.5,-2.71997917,250.63,87.5,1.36,1.34,-2.71997917,963.805,1400.0,95.0,963.805,43.0,100.0,2435.0,11.3,542.2500000000001,-2.0026967375,25.35,1.93,4.35,2.026685741
