,n_ws^third_composition_average,HeatFusion_composition_average,GSenergy_pa_arithmetic_average,AtomicVolume_difference,ICSDVolume_composition_average,MeltingT_composition_average,MeltingT_min_value,ElasticModulus_composition_average,BulkModulus_min_value,GSenergy_pa_composition_average,SecondIonizationEnergy_composition_average,BCCenergy_pa_arithmetic_average,AtomicRadii_composition_average,phi_composition_average,ShearModulus_min_value,ShearModulus_max_value,MeltingT_difference,BCCefflatcnt_composition_average,BCCfermi_composition_average,BoilingT_composition_average,HeatVaporization_composition_average,ThermalExpansionCoefficient_composition_average,n_ws^third_arithmetic_average,MeltingT_max_value,ElasticModulus_min_value,target
0,1.635,31.06833333333333,-7.532876226666668,9.0205170334996,17.25,2409.1666666666665,1687.0,131.0,100.0,-8.813098878333333,15.114166666666668,-7.325139496666668,1.3815,4.333333333333333,38.0,75.0,1063.0,6.361771376666666,5.943686283333332,4406.833333333333,582.1166666666667,7.466666666666668,1.63,2750.0,104.0,194.2688844
1,1.5779999999999998,28.706,-5.41691009,9.0205170334996,15.76,1568.694,933.47,162.1,76.0,-5.751207484,17.1276,-5.17742803,1.3152,4.76,26.0,75.0,834.53,5.96078913,7.974746452000001,3107.600000000001,351.08,10.86,1.5466666666666666,1768.0,70.5,194.2688844
2,1.675,54.03,-8.3228109975,6.0326800485228,16.9,2496.5,1687.0,356.0,100.0,-8.3228109975,8.1725,-7.617188025000001,1.33,5.050000000000002,222.0,222.0,1619.0,6.158023042999999,9.345868415,4229.0,493.3,3.85,1.675,3306.0,162.0,175.4499068
3,1.31,5.585,-3.0122553025,0.0,19.6,302.91,302.91,11.0,0.0,-3.0122553025,20.51,-2.97839076,1.41,4.1,0.0,0.0,0.0,6.596508714,3.94985673,2477.0,256.06,19.7,1.31,302.91,11.0,175.4499068
4,1.72,42.46333333333335,-7.3097757875,6.448503307312702,16.0,2300.333333333333,1687.0,340.6666666666667,100.0,-7.938061715000001,16.621666666666666,-6.736471385,1.3233333333333333,5.166666666666667,173.0,173.0,920.0,6.093468228666668,9.144991740000002,4006.333333333333,498.18,5.133333333333333,1.665,2607.0,162.0,295.0775450000001
5,1.682,35.342,-6.67850864,7.76933480221818,11.1,2012.094,933.47,140.3,33.0,-6.839260842000001,18.8782,-5.167345263333333,1.2197999999999998,5.148,26.0,75.0,2889.53,5.5435322756,6.972280286,3338.4,425.14,12.62,1.6366666666666667,3823.0,7.0,295.0775450000001
6,1.25,13.235,-2.963527885,8.6113979879941,27.225,726.7149999999998,505.08,61.5,42.0,-3.25198649875,16.15,-2.841726536666666,1.57225,4.25,18.0,20.0,398.7,7.3315479195,7.441791305,1908.75,131.54500000000002,18.7,1.2466666666666666,903.78,50.0,49.13067004
7,1.83,41.12,-8.84851145,0.0,13.8,2739.0,2739.0,533.0,320.0,-8.84851145,0.0,-8.22715557,1.357,5.55,210.0,210.0,0.0,6.162942317000001,9.63998473,4701.0,563.58,6.4,1.83,2739.0,533.0,49.13067004
8,1.545,30.455,-6.482936895,16.042872975176394,22.0,1821.39,903.78,300.0,42.0,-6.482936895,8.265,-6.0585353500000005,1.4735,4.975,20.0,210.0,1835.22,6.8654293875,9.014573275,3280.5,315.7750000000001,8.7,1.545,2739.0,67.0,256.7680808
9,1.5666666666666669,24.606666666666666,-7.328813013446666,17.9787189781906,18.73333333333333,1720.593333333333,903.78,266.0,42.0,-7.328813013446666,10.723333333333334,-6.995827153333334,1.3956666666666666,4.8,20.0,210.0,1835.22,6.416819423333332,8.53469641,2965.0,283.7633333333333,13.033333333333331,1.5666666666666669,2739.0,67.0,256.7680808
10,0.82,2.6,-1.26024138333,0.0,39.7,370.87,370.87,5.0,6.3,-1.26024138333,47.286,-1.2544847,1.9,2.7,3.3,3.3,0.0,7.760395346,1.31524918,1156.0,98.01,71.0,0.82,370.87,5.0,234.4545096
11,0.98,3.0,-1.86988691,0.0,21.6,453.69,453.69,10.0,11.0,-1.86988691,76.638,-1.86553478,1.55,2.85,4.2,4.2,0.0,6.416364372,0.22720863,1615.0,147.1,46.0,0.98,453.69,10.0,234.4545096
12,1.2225,10.6325,-3.7083412733333336,15.493037175225398,22.025,909.8025,453.69,53.5,11.0,-3.2487276825,47.359,-3.615487603333333,1.51625,3.8875,4.2,44.0,1374.36,6.63525956225,3.507642065,2081.5,188.8675,28.7,1.3033333333333332,1828.05,10.0,36.2332855
13,1.3666666666666667,15.003333333333336,-3.5991364066666667,15.493037175225398,22.766666666666666,1218.2766666666666,903.78,79.46666666666667,42.0,-3.5991364066666667,17.065,-3.4981996200000003,1.5216666666666667,4.433333333333334,17.0,44.0,924.27,6.953973577999999,5.887535466666668,2153.0,196.29,15.866666666666667,1.3666666666666667,1828.05,44.4,36.2332855
14,1.403333333333333,16.815,-3.89604811,14.8309599370549,22.9,1289.3933333333334,903.78,95.46666666666668,42.0,-3.89604811,16.709333333333333,-3.776241316666667,1.5233333333333334,4.500000000000001,17.0,61.0,1137.62,6.981881548666668,6.731902996666667,2440.333333333333,235.34,14.866666666666667,1.403333333333333,2041.4,44.4,346.3227613
15,1.75,16.2,-7.080389145,0.0,11.1,1768.0,1768.0,208.0,180.0,-7.080389145,17.06,-6.98008657,1.253,5.1,75.0,75.0,0.0,5.507318082,6.14041474,3200.0,373.3,13.0,1.75,1768.0,208.0,346.3227613
16,1.7275,29.085,-9.55252253,4.321219748436398,13.025,2500.25,2237.0,293.25,200.0,-8.403084025,13.56,-9.380691725,1.36625,5.062500000000001,69.0,150.0,1053.0,6.202991472999999,6.8856791575,4408.75,555.7925,7.725,1.6949999999999998,3290.0,183.0,160.280886
17,1.4754545454545456,30.62181818181818,-6.35329072,10.438769262540902,17.672727272727272,1790.6436363636365,1357.77,141.9090909090909,100.0,-6.025926300454545,17.393,-6.106515676666668,1.3712727272727272,4.3090909090909095,30.0,48.0,1148.23,6.204667453636364,6.48823902090909,3647.272727272727,420.11,8.554545454545455,1.4733333333333334,2506.0,124.0,160.280886
18,1.6800000000000002,33.1796,-6.245065976666668,6.380594019510782,11.159999999999998,1989.736,692.68,147.0,33.0,-7.06123333,18.1774,-4.771445983333333,1.193,5.026,43.0,82.0,3130.32,5.4992859114,6.389127472,2976.4,375.76,13.32,1.62,3823.0,7.0,131.9748604
19,1.6825,26.7425,-8.6039724275,8.543201383693301,14.225,2304.25,2237.0,282.25,110.0,-7.92880897375,17.291249999999998,-8.342316635,1.39975,4.950000000000001,30.0,150.0,269.0,6.31005760175,6.7097859125,4195.0,536.8100000000002,7.625,1.605,2506.0,139.0,131.9748604
