,ElectronAffinity_composition_average,ElectronAffinity_max_value,ICSDVolume_difference,NdUnfilled_composition_average,MendeleevNumber_max_value,IsMetal_composition_average,BCCenergy_pa_arithmetic_average,GSenergy_pa_composition_average,NUnfilled_min_value,MiracleRadius_composition_average,Polarizability_difference,ShearModulus_min_value,n_ws^third_difference,ShearModulus_composition_average,ThermalExpansionCoefficient_difference,ThirdIonizationEnergy_composition_average,BoilingT_difference,Polarizability_composition_average,NpValence_composition_average,BCCenergy_pa_composition_average,HHIp_composition_average,AtomicRadii_composition_average,phi_arithmetic_average,AtomicVolume_difference,NUnfilled_composition_average,target
0,107.91666666666666,190.15,13.9,2.6666666666666665,90.0,0.3333333333333333,-5.836926056666668,-6.1735066155566685,2.0,136.0,10.7,16.0,0.05,15.333333333333332,16.2,28.25733333333333,3615.0,9.076666666666666,2.0,-5.836926056666668,3666.666666666666,1.4946666666666668,2.7666666666666666,13.940311005934394,4.666666666666667,63.59383333333302
1,77.0,77.0,0.0,0.0,84.0,1.0,-4.21496399,-4.650889115,3.0,115.0,0.0,0.0,0.0,0.0,0.0,28.351,0.0,4.31,3.0,-4.21496399,3300.0,1.39,4.8,0.0,3.0,63.59383333333302
2,161.9,324.6,47.8,2.6666666666666665,95.0,0.3333333333333333,-3.706550503333333,-4.7050147875,1.0,68.66666666666667,13.798,44.0,0.0,14.666666666666664,771.4,39.475,3469.9,6.150666666666666,3.0,-3.706550503333333,1633.3333333333337,1.106,1.2666666666666666,18574.560849330595,3.6666666666666665,134.86375000000007
3,69.5,110.0,9.199999999999996,0.0,86.0,1.0,-3.2746444300000004,-3.32024818,3.0,158.5,9.25,12.0,0.01,6.0,18.700000000000006,26.7945,508.0,5.025,2.0,-3.2746444300000004,4300.0,1.68,4.025,9.400800921817703,4.0,134.86375000000007
4,126.06666666666666,141.1,0.8000000000000007,2.0,87.0,0.3333333333333333,-6.27653657,-6.535635113333332,2.0,90.33333333333331,14.898,38.0,0.0,12.666666666666664,772.7,44.96933333333333,4926.9,5.768,2.6666666666666665,-5.004274916666667,3166.666666666667,0.963,2.025,18574.195033509084,3.666666666666667,43.11466666666687
5,120.26,141.1,12.9,0.0,87.0,0.4,-3.5215435766666667,-4.607725434000001,2.0,92.4,5.797999999999999,20.0,0.1799999999999999,4.0,769.0,43.6906,1769.9,2.6632,3.6,-3.0968267900000006,2540.0,1.034,3.0666666666666664,18570.473200752214,2.4,43.11466666666687
6,129.825,141.1,1.8000000000000007,1.25,87.0,0.25,-6.65292969,-6.27912087125,2.0,82.75,11.998,20.0,0.0,5.0,775.2,47.9905,4821.9,3.8015,3.0,-4.55634065,975.0,0.888,2.325,18576.6962858016,3.0,240.7154875
7,150.89,190.15,21.9,1.0,90.0,0.2,-5.539096963333333,-4.709132721002,2.0,132.8,6.1,16.0,0.3599999999999999,32.6,13.9,29.812,1832.0,6.787999999999999,2.8,-4.457105546,3420.0,1.4838000000000002,3.0666666666666664,21.863751248653603,3.2,240.7154875
8,122.53333333333336,324.6,42.49999999999999,2.6666666666666665,95.0,0.3333333333333333,-4.5076970900000015,-6.113475034166667,1.0,76.66666666666666,16.799999999999994,33.0,0.24,11.0,234.3,35.479333333333344,4604.79,7.35,2.666666666666667,-4.5076970900000015,2666.6666666666665,1.22,3.4366666666666665,18569.23302334961,4.0,67.44283333333368
9,135.65200000000002,194.96,15.1,0.0,89.0,0.2,-3.4838352066666665,-4.575788439,2.0,90.4,3.998,3.7,0.0,9.54,768.2,45.7104,3145.9,2.1952,3.2,-3.074201768,1380.0,0.993,1.8166666666666669,18577.49878022084,1.6,67.44283333333368
