,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.94219017028809
1,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965670108795166
2,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,107.46180725097656
3,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.95390796661377
4,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,183.2870941162109
5,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.600319862365724
6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2670642137527466
7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.6590940952301025
8,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.305583953857425
9,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.742322444915772
10,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.55980682373047
11,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.023946762084961
12,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153.5752716064453
13,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.887455940246582
14,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105034589767456
15,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.056197166442871
16,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.748878479003903
17,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.76435089111328
18,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.06354904174805
19,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.043911933898926
20,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,129.0614471435547
21,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.950361251831055
22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1907854080200195
23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0884315967559814
24,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.35414695739746
25,125.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.043916702270508
26,125.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.213966369628906
27,125.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.457205772399902
28,125.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.47102355957033
29,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.714871406555176
30,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.284069061279297
31,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.647561073303223
32,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.612043380737305
33,150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.721982955932617
34,150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.154482364654541
35,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1621322631835938
36,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.49671173095705
37,150.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.921683311462402
38,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.991136074066162
39,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.36699390411377
40,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97584629058838
41,175.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.42119026184082
42,175.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3959068059921264
43,175.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5672202110290527
44,175.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.89431762695312
45,175.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.625188827514648
46,175.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.057953357696533
47,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7750823497772217
48,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.555692672729492
49,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19599914550781
50,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.9977614879608157
51,200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8635544776916504
52,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.43349456787109
53,200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.102874755859377
54,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.224138259887695
55,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4295951128005981
56,50.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0904829502105713
57,50.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.84418535232544
58,50.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,7.432740211486816
59,50.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,24.800233840942383
60,50.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,25.51940155029297
61,50.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,24.39140510559082
62,50.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,22.30510139465332
