,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1682243347168
1,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6762077808380127
2,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.463629722595215
3,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.6677825450897217
4,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-11.112993240356444
5,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.393558502197266
6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.14143371582031
7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.994492053985596
8,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.34955596923828
9,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4253096580505371
10,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.814481258392334
11,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.274101972579956
12,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-10.19262981414795
13,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.664673805236816
14,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.071231842041016
15,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.7420578002929688
16,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.90625
17,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.872852325439453
18,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1707804203033447
19,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3458586931228637
20,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.223923683166504
21,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.502518653869629
22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.920566082000732
23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.946876525878906
24,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.70500183105469
25,125.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.16231536865234
26,125.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4649256467819214
27,125.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8638930320739744
28,125.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.236685752868652
29,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.684211492538452
30,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.041557788848877
31,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.51887512207031
32,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.19347381591797
33,150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.81021881103516
34,150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4050716161727905
35,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5535500049591064
36,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.018904685974121
37,150.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4834285974502563
38,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9655978679656982
39,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.20073699951172
40,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2726821899414
41,175.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.39029693603516
42,175.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1204491853713989
43,175.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3132472038269043
44,175.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.632989883422852
45,175.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.249069333076477
46,175.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.715930700302124
47,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.59907913208008
48,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45992279052734
49,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.89371490478516
50,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9815912246704104
51,200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2937078475952148
52,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.788047790527344
53,200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5968167781829834
54,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0146479606628418
55,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.935546875
56,50.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.1036357879638672
57,50.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.38861346244812
58,50.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1775825023651123
59,50.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.9296251535415648
60,50.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.3115894794464111
61,50.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9395663738250732
62,50.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,14.576412200927734
63,50.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,23.721689224243164
