,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.538066864013672
1,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.13661193847656
2,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.945051193237305
3,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.215231895446776
4,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-54.890846252441406
5,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6697869300842283
6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5926687717437744
7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-27.44975852966309
8,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.308825492858888
9,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.4944610595703
10,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.268760681152344
11,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.100045204162598
12,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-51.0709342956543
13,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4359755516052246
14,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5230308771133423
15,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-21.59564971923828
16,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.393341064453125
17,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.09626007080078
18,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.290956497192385
19,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.159655570983888
20,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-46.60857772827149
21,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1166787147521973
22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0470070838928225
23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-15.30180549621582
24,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.62764358520508
25,125.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.49510955810548
26,125.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.735312461853027
27,125.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.285127639770508
28,125.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-40.48401641845703
29,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.8314197063446045
30,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.9219262599945068
31,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.181892395019531
32,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.23634338378906
33,150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9177861213684082
34,150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.596243381500244
35,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.57954406738281
36,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-33.71586227416992
37,150.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.8528811931610107
38,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.944535970687866
39,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.775723934173584
40,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28208923339844
41,175.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7480990886688232
42,175.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0957674980163574
43,175.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.42359733581543
44,175.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-24.991260528564453
45,175.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.598628520965576
46,175.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.607136249542236
47,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.4670233726501465
48,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.81454467773438
49,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0092502832412719
50,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.931142807006836
51,200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.79700469970703
52,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-18.515804290771484
53,200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1417640447616577
54,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.025479793548584
55,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.309770584106445
56,50.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,38.090938568115234
57,50.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.2715685367584228
58,50.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1637864112854004
59,50.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.316490888595581
60,50.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.1282145977020264
61,50.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.341785907745361
62,50.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.4322271347045898
63,50.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.3485703468322754
64,50.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.2397793531417846
65,50.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,5.909347534179688
66,50.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-0.3662621974945068
67,50.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,-2.159945249557495
68,50.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-3.3649635314941406
69,50.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-3.489008903503418
70,50.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-3.1167030334472656
71,50.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.830350399017334
72,50.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-1.8719120025634768
73,50.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.430093765258789
74,50.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,2.510486602783203
75,50.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,2.389472723007202
76,50.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.867025852203369
77,50.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,5.007914543151856
78,50.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.4326987266540527
79,50.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,11.18601131439209
80,50.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,7.251531600952148
81,50.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.528512954711914
82,50.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.139237880706787
83,50.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,-51.50015258789063
84,50.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,-46.39020538330078
85,50.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,-40.92623519897461
86,50.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-35.24225997924805
87,50.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-28.82721900939941
88,50.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,-18.396732330322266
89,50.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-3.1537818908691406
90,50.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-1.172245979309082
91,50.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.268524169921875
92,50.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-0.4822369813919067
93,50.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.3179726600646973
94,50.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,2.922257900238037
95,50.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,4.753951549530029
96,50.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,7.093071937561035
97,50.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,7.66908073425293
98,50.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,5.481301784515381
99,50.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.2202277183532715
100,50.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0312693119049072
101,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,-0.6546087265014648
102,50.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-0.4119956493377685
103,50.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0807538032531738
104,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2859822511672973
105,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0864703655242919
106,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0263861417770385
107,50.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1915725469589233
108,50.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9344390630722046
109,50.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.279739499092102
110,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-23.74808120727539
111,50.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-19.648178100585938
112,50.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-14.83293342590332
113,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-8.361693382263184
114,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.267090797424316
115,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,17.11745834350586
116,50.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1264106035232544
117,50.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3498189449310305
118,50.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.2684414386749268
119,50.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,31.702396392822266
120,50.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,50.81430435180664
121,50.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,40.87768173217773
122,50.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,29.228307723999023
123,50.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,23.21932411193848
124,50.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,32.4447021484375
125,50.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,53.988380432128906
126,50.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,83.68560791015625
127,50.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,119.21089935302734
128,50.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,6.8003668785095215
129,50.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,3.867025852203369
130,50.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,6.591322422027588
131,50.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,11.213525772094728
132,50.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.3639817237854
133,50.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,4.357612609863281
134,50.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,1.844498872756958
135,50.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,32.35338592529297
136,50.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,97.81076049804688
137,50.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,-41.932838439941406
138,50.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,-21.98056411743164
139,50.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,-7.709401130676269
140,50.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,7.902986526489258
141,50.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,34.39141845703125
142,50.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,29.55228614807129
143,50.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,40.75539016723633
144,50.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,56.31072998046875
145,50.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,113.12957763671876
146,50.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,-1.1939337253570557
147,50.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,-0.5750774145126343
148,50.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0173643827438354
149,50.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.3939419984817505
150,50.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.4074659347534179
151,50.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,9.375672340393066
152,50.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,34.18197250366211
153,50.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,80.67679595947266
154,50.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,130.83558654785156
155,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,-0.2342691421508789
156,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.3043115139007568
157,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,1.4870519638061523
158,50.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,2.803738832473755
159,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,3.158577442169189
160,50.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,6.427921295166016
161,50.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,24.80845832824707
162,50.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,75.90388488769531
163,50.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,117.6779556274414
164,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,-10.861810684204102
165,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,8.459571838378906
166,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,6.6700873374938965
