,BCCenergy_pa_composition_average,HeatVaporization_composition_average,MeltingT_difference,HeatVaporization_difference,HeatVaporization_max_value,BCCfermi_composition_average,MeltingT_max_value,BoilingT_composition_average,phi_max_value,NdValence_composition_average,HHIp_composition_average,n_ws^third_max_value,valence_composition_average,HeatFusion_composition_average,phi_difference,NValance_composition_average,n_ws^third_composition_average,GSmagmom_composition_average,GSenergy_pa_composition_average,ThermalExpansionCoefficient_composition_average,MiracleRadius_composition_average,CovalentRadii_composition_average,MeltingT_composition_average,Group_composition_average,ElasticModulus_difference,AtomicVolume_difference,BCCmagmom_composition_average,BCCvolume_padiff_composition_average,SecondIonizationEnergy_composition_average,NUnfilled_composition_average,NpUnfilled_arithmetic_average,Column_composition_average,NdUnfilled_composition_average,IonicRadii_composition_average,HeatCapacityMolar_composition_average,Density_composition_average,AtomicVolume_min_value,ICSDVolume_composition_average,HHIr_composition_average,IonicRadii_arithmetic_average,Electronegativity_composition_average,phi_composition_average,AtomicRadii_composition_average,SpaceGroupNumber_composition_average,HHIr_arithmetic_average,ICSDVolume_min_value,ICSDVolume_difference,CovalentRadius_composition_average,IonizationEnergy_composition_average,FirstIonizationEnergy_composition_average,target
0,-4.0303375145,150.33704,2841.2,586.9891,590.4,4.085815242000001,2896.0,1407.16,4.65,1.0,1515.0,1.77,2.8,9.265,2.3300000000000005,5.2,0.531,0.0,-5.41172224475,473.335,107.5,1.058,829.33,11.2,309.0,18576.6962858016,0.0,-1.2075,26.64325,2.4,0.5,11.2,1.0,1.1789999999999998,27.73165,2464.8574,15.5008806878023,23.235,1700.0,1.1025,2.6905,1.4285,1.1169,98.2,2400.0,15.5,47.3,107.55,1038.935,10.7668732,-4.464
1,-3.6489680985,121.59704,2128.2,443.2891,446.7,3.649420066,2183.0,1160.76,4.25,0.6,1695.0,1.64,2.6,6.068999999999999,1.93,5.0,0.505,0.0,-5.03035282875,474.055,106.5,1.042,686.73,11.0,116.0,18578.35226826842,0.0,-1.2075,26.28105,2.6,0.5,11.0,1.4,1.1689999999999998,27.89765,1630.8574,13.8448982209802,22.895,1320.0,1.09,2.5845,1.3485,1.1087,98.2,1925.0,13.8,49.0,107.35,1031.955,10.6976252,-4.464
2,-3.5545709345,150.35703999999998,2073.2,587.0891,590.5,3.2040258,2128.0,1361.16,3.45,0.4,1715.0,1.41,2.4000000000000004,5.968999999999999,1.1300000000000003,4.800000000000001,0.4589999999999999,0.0,-4.95169240175,473.515,111.3,1.088,675.73,10.8,81.0,18568.93122322021,0.0,-1.2965,25.97705,2.8,0.5,10.8,1.6,1.229,27.99165,1711.0574,23.2659432691915,24.775,1160.0,1.165,2.5245,1.1885,1.1645,91.2,1725.0,17.3,45.5,111.75,1033.955,10.6751672,-3.549
3,-4.030150667,149.61354,2841.2,586.9891,590.4,4.021026098,2896.0,1426.46,4.65,1.0,1470.0,1.77,2.8,9.194,2.3300000000000005,5.2,0.526,0.0,-5.410481879500001,473.25,108.6,1.07,823.58,11.2,309.0,18576.6962858016,0.0,-1.16,26.5499,2.4,0.5,11.2,1.0,1.1999999999999995,27.8387,2562.8574,15.5008806878023,24.17,1740.0,1.1025,2.685,1.417,1.1294,98.4,2400.0,15.5,47.3,109.5,1034.59,10.7217984,-3.549
4,-3.5543840870000007,149.63353999999998,2073.2,587.0891,590.5,3.139236656,2128.0,1380.46,3.45,0.4,1670.0,1.41,2.4000000000000004,5.898,1.1300000000000003,4.800000000000001,0.4539999999999999,0.0,-4.9504520365,473.43,112.4,1.1,669.98,10.8,81.0,18568.93122322021,0.0,-1.249,25.8837,2.8,0.5,10.8,1.6,1.2499999999999998,28.0987,1809.0574,23.2659432691915,25.71,1200.0,1.165,2.519,1.177,1.177,91.4,1725.0,17.3,45.5,113.7,1029.61,10.6300924,-1.077
5,-3.8675011490000006,170.11204,2695.2,686.6891,690.1,3.344326525,2750.0,1403.76,4.05,0.8,2795.0,1.64,2.6,7.784499999999999,1.65,5.0,0.5065,0.0,-5.24912956375,473.93,107.75,1.0625,802.63,11.0,89.0,18574.195033509084,0.0,-1.2735,26.26635,2.6,0.5,11.0,1.2,1.1809999999999998,27.77565,2078.8574,18.0021329803168,23.415,2435.0,1.075,2.5815,1.3125,1.1268,98.0,3450.0,17.3,38.7,108.54999999999998,1037.085,10.7243165,-1.077
6,-4.219116751,179.49204,3235.2,733.5891,737.0,3.451210821,3290.0,1546.56,4.05,0.6,1555.0,1.63,2.6,9.0985,1.65,7.800000000000001,0.5045,0.0,-5.60074516575,473.73,108.15,1.0625,910.63,11.0,168.0,18574.150436930217,0.0,-1.2735,23.40235,2.6,0.5,11.0,1.4,1.1809999999999998,27.92765,3694.8574,18.0467295591839,23.315,1635.0,1.075,2.5615,1.3125,1.127,98.0,2450.0,17.3,38.7,109.75,1056.485,10.8824605,-4.392
7,-3.636688981,121.43204,2128.2,443.2891,446.7,3.654966507,2183.0,1136.36,4.25,0.6,1755.0,1.64,2.6,6.084499999999999,1.85,5.0,0.5065,0.0,-5.01831739575,474.15,105.95,1.0385,689.23,11.0,114.0,18578.35226826842,0.0,-1.2735,26.33235,2.6,0.5,11.0,1.4,1.1609999999999998,27.83365,1586.8574,13.8448982209802,22.555,1355.0,1.0499999999999998,2.5875,1.3525,1.1052,98.0,2100.0,13.8,42.2,106.35,1034.285,10.7217845,-4.392
8,-3.5422918170000006,150.19204,2073.2,587.0891,590.5,3.209572241,2128.0,1336.76,3.45,0.4,1775.0,1.41,2.4000000000000004,5.9845,1.0500000000000005,4.800000000000001,0.4604999999999999,0.0,-4.9396569687500005,473.61,110.75,1.0845,678.23,10.8,79.0,18568.93122322021,0.0,-1.3624999999999998,26.02835,2.8,0.5,10.8,1.6,1.221,27.92765,1667.0574,23.2659432691915,24.435,1195.0,1.125,2.5275,1.1925,1.161,91.0,1900.0,17.3,38.7,110.75,1036.285,10.6993265,-1.045
9,-4.206650786,178.60354,3235.2,733.5891,737.0,3.3919681180000003,3290.0,1541.46,4.05,0.6,1570.0,1.63,2.6,9.043,1.65,7.800000000000001,0.5009999999999999,0.0,-5.5874693675,473.74,108.7,1.071,907.38,11.0,168.0,18574.150436930217,0.0,-1.292,23.3603,2.6,0.5,11.0,1.4,1.194,27.9707,3748.8574,18.0467295591839,23.910000000000004,1710.0,1.075,2.559,1.305,1.136,98.0,2450.0,17.3,38.7,110.7,1054.47,10.861545,-1.045
