,HeatVaporization_composition_average,HeatVaporization_difference,HeatVaporization_max_value,NUnfilled_composition_average,BCCmagmom_composition_average,HHIp_composition_average,IonicRadii_min_value,BCCfermi_max_value,SpaceGroupNumber_arithmetic_average,GSmagmom_composition_average,n_ws^third_composition_average,BCCenergy_pa_composition_average,BCCvolume_padiff_composition_average,HHIp_arithmetic_average,ThirdIonizationEnergy_composition_average,phi_composition_average,HeatFusion_composition_average,MendeleevNumber_composition_average,valence_composition_average,ElectricalConductivity_arithmetic_average,BCCfermi_composition_average,FirstIonizationEnergy_composition_average,IonicRadii_composition_average,IonicRadii_difference,HHIr_composition_average,BoilingT_composition_average,IonizationEnergy_composition_average,IsBCC_arithmetic_average,ThermalExpansionCoefficient_composition_average,NValance_composition_average,NUnfilled_arithmetic_average,ElectricalConductivity_composition_average,ElectricalConductivity_difference,BulkModulus_composition_average,BCCefflatcnt_composition_average,MeltingT_composition_average,NdValence_composition_average,ThermalConductivity_composition_average,GSenergy_pa_composition_average,ThermalExpansionCoefficient_arithmetic_average,GSmagmom_arithmetic_average,ElectricalConductivity_min_value,Column_composition_average,ElectronAffinity_difference,BCCmagmom_arithmetic_average,Group_composition_average,BCCvolume_padiff_arithmetic_average,SpaceGroupNumber_min_value,phi_difference,NdValence_arithmetic_average,target
0,104.12403999999998,369.8891,373.3,1.7999999999999998,0.3368074399999999,1485.0,0.65,6.14041474,157.25,0.30969424,0.5247499999999999,-3.2374119630000004,-1.021,2050.0,40.65345,1.5285,4.7947,67.1,2.2,9.4,3.45001700075,10.893928175,1.237,0.7699999999999999,1290.0,1098.585,1050.6075,0.25,474.96,6.050000000000001,1.25,4.4925,15.099999999999998,39.43,5.95090709325,578.797,1.65,26.28044,-4.637769365375,210.95,0.3871178,2.8,12.05,0.0,0.4210093,12.05,-0.345,12.0,2.78,4.25,199.6087629
1,99.36404,346.0891,349.5,2.0,0.42213256,1345.0,0.55,6.45149343,166.0,0.42213256,0.5287499999999999,-3.498491521,-1.06,1875.0,40.08365,1.4945,4.3167,66.5,2.8,7.725,3.51223273875,10.898206175,1.217,0.8699999999999999,1030.0,1085.3849999999998,1050.8675,0.5,474.72,5.85,1.5,3.1525,14.099999999999998,37.43,5.96101282865,587.397,1.45,22.32044,-4.878788408375,210.65,0.5276657,2.8,11.85,0.0,0.5276657,11.85,-0.39375,12.0,2.61,4.0,199.6087629
2,73.41203999999999,216.3291,219.74,2.2,0.16371458,1185.0,0.67,7.57494268,163.0,6.2024137931e-05,0.49675,-3.615476801,-1.0555172414,1675.0,40.68685,1.3985,4.136699999999999,65.9,3.0,5.05,3.73692258875,10.804530175,1.241,0.7499999999999999,1110.0,925.385,1042.4875,0.5,476.7,5.65,1.75,1.0125,16.4,27.43,5.95336337585,528.9970000000001,1.25,7.84444,-5.025804586443,213.125,7.753017241375e-05,0.5,11.65,0.0,0.204643225,11.65,-0.3881465517499999,12.0,2.1300000000000003,3.75,125.2909586
3,104.96403999999998,374.0891,377.5,1.6,0.01291344,1065.0,0.69,5.09579251,165.0,0.11907894,0.5247499999999999,-2.929222457,-1.058,1525.0,40.98745,1.5485,5.0507,67.7,2.2,8.575,3.24109255475,10.845686175,1.245,0.73,1050.0,1095.785,1046.3475,0.25,475.04,6.25,1.0,3.8325,14.099999999999998,39.43,5.94702494005,570.797,1.85,24.42044,-4.330956450375,211.05,0.148848675,2.8,12.25,0.0,0.0161418,12.25,-0.39125,12.0,2.8800000000000003,4.5,125.2909586
4,103.50154,369.8891,373.3,1.7999999999999998,0.3368074399999999,1450.0,0.65,6.14041474,157.25,0.30969424,0.5375,-3.2182511940000005,-1.016,2050.0,41.6465,1.573,4.793399999999999,68.6,2.2,9.4,3.5079028155,10.99849155,1.2199999999999998,0.7699999999999999,1280.0,1074.51,1060.6950000000002,0.25,475.2,6.300000000000001,1.25,4.845,15.099999999999998,40.94,5.8518677847,571.114,1.9,28.72044,-4.62068130675,210.95,0.3871178,2.8,12.3,0.0,0.4210093,12.3,-0.345,12.0,2.78,4.25,217.0413431
5,117.89004,657.6591000000001,661.07,2.05,0.25260558,1465.0,0.65,6.14041474,164.6,0.23227068,0.5225,-3.3579793335,-1.04225,2320.0,41.1375,1.4979999999999998,5.343399999999999,67.95,2.25,8.2,3.437515607,10.94569455,1.229,0.7699999999999999,1275.0,1158.31,1054.895,0.2,474.845,6.75,2.6,4.119999999999999,15.099999999999998,37.44,5.9288399683,608.014,1.65,24.87044,-4.76437681625,169.94,0.30969424,2.8,12.05,0.0,0.3368074399999999,12.05,-0.3419999999999999,12.0,2.78,3.8,217.0413431
6,119.34154,686.6891,690.1,2.0,0.25260558,1720.0,0.64,6.14041474,171.6,0.23227068,0.532,-3.373912942,-1.02575,3340.0,41.2235,1.5204999999999995,5.4834,68.05,2.3,8.84,3.445973182,10.94238355,1.2195,0.7799999999999999,1585.0,1165.36,1055.995,0.4,474.915,6.1,2.4,4.279999999999999,15.099999999999998,40.44,5.907791599349999,620.214,1.75,26.40544,-4.7713279260000006,170.22,0.30969424,2.8,12.1,0.0,0.3368074399999999,12.1,-0.2759999999999999,12.0,2.78,4.199999999999999,304.4503226
7,121.68654,733.5891,737.0,2.0,0.25260558,1410.0,0.64,6.14041474,171.6,0.23227068,0.5315000000000001,-3.4618168425,-1.02575,2100.0,39.9715,1.5204999999999995,5.8119,68.10000000000001,2.3,9.14,3.472694256,10.98191955,1.2195,0.7799999999999999,1385.0,1201.06,1060.845,0.4,474.865,6.800000000000001,2.4,4.355,15.099999999999998,41.94,5.907426742549999,647.214,1.7000000000000002,26.59544,-4.8592318265,170.02,0.30969424,2.8,12.1,0.0,0.3368074399999999,12.1,-0.2759999999999999,12.0,2.78,4.0,304.4503226
8,106.09654,421.7891,425.2,2.05,0.25260558,1350.0,0.61,6.14041474,164.6,0.2322718066666666,0.526,-3.252310271,-1.01825,1860.0,41.34605,1.5079999999999998,4.690899999999999,67.85000000000001,2.25,8.04,3.349689626,10.94584705,1.218,0.8099999999999999,1225.0,1092.51,1055.6950000000002,0.2,474.98,6.050000000000001,2.6,4.08,15.3,37.44,5.8994435066,579.764,1.65,24.81544,-4.6554232055,170.48,0.3096987466666667,2.6,12.05,0.0,0.3368074399999999,12.05,-0.2459999999999999,12.0,2.78,3.8,263.0113288
9,114.36154,587.0891,590.5,2.05,0.25260558,1465.0,0.65,6.14041474,164.6,0.23227068,0.5205,-3.292610609,-1.048,2320.0,41.121,1.4905,5.033399999999999,67.9,2.25,7.98,3.412284611,10.936136050000002,1.2294999999999998,0.7699999999999999,1275.0,1148.61,1055.795,0.2,474.835,6.050000000000001,2.6,4.065,15.599999999999998,31.94,5.9335037297,589.1139999999999,1.65,24.85544,-4.693959777250001,169.9,0.30969424,2.3,12.05,0.0,0.3368074399999999,12.05,-0.365,12.0,2.78,3.8,263.0113288
