smiles,log10_H2_Bayesian
*/C(=C(\*)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1)c1ccccc1,2.6409709670000003
*/C(=C(\*)c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1)c1ccccc1,2.908485019
*/C(=C(\*)c1ccc(-c2ccccc2)cc1)c1ccccc1,2.643452676
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,2.531478917
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,3.0
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccccc1,3.5372662045
*/C(=C(\*)c1ccc(C(C)C)cc1)c1ccccc1,2.955953675
*/C(=C(\*)c1ccc(CCCC)cc1)c1ccccc1,2.251947419
*/C(=C(\*)c1ccc(C[Si](C)(C)C)cc1)c1ccccc1,2.62324929
*/C(=C(\*)c1ccc(O[Si](C)(C)C(C)(C)C)cc1)c1ccc(F)cc1,2.4818939135
*/C(=C(\*)c1ccc(S(=O)(=O)O)cc1)c1ccc(C(C)(C)C)cc1,2.34761619
*/C(=C(\*)c1ccc(S(=O)(=O)O)cc1)c1ccc(S(=O)(=O)O)cc1,1.383583297
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,3.079181246
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,3.176091259
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,3.476887005
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)(C)C)cc1,2.126273092
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1,2.155551646
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(CCCC)cc1,2.099922162
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccccc1,2.20973882
*/C(=C(\*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,4.3737525139999995
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,4.45484486
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,4.315970345
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,4.033423755
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,4.31386722
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,4.565847819
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,4.522444234
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cccc(F)c1,4.431363764
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,4.394451681
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,3.886490725
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,3.568201724
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,3.929418926
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,3.698970004
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,3.939519253
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,3.799340549
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,4.041392685
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,4.041392685
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,3.0163093805
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cccc(F)c1,3.995635195
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,3.84918840875
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,3.278753601
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,3.230065360333333
*/C(=C(\*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,3.041392685
*/C(=C(\*)c1ccc2c(c1)CCC2)c1ccccc1,2.556302501
*/C(=C(\*)c1cccc(O)c1)c1ccc(C(C)(C)C)cc1,3.230448921
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,3.591064607
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc([Si](C)(C)C)cc1,3.204119983
*/C(=C(\*)c1ccccc1)c1ccccc1,3.43929093
*/C=C/CC*,2.3654888925
*=CC1CC(C=*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,2.838849091
*C(*)(F)F,0.19570129490909094
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3C)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.324459724
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.756682529
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,0.467199021
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)c(C)c2)cc1C,0.990777709
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,0.393871453
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,0.812406292
*C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,0.595154507
*C(=O)Oc1c(C)cc(C(c2cc(C)c(OC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)c(C)c2)(C(F)(F)F)C(F)(F)F)cc1C,2.007511921
*C(=O)Oc1ccc(C(c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.797125701
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(*)cc4C3=O)c(C)c1C)C2=O,2.033423755
*C(C)=C(*)[Si](C)(C)C,4.0281911035625
*C(C)=C(*)[Si](C)(C)C(C)C,3.217483944
*C(C)=C(*)[Si](C)(C)CC,3.2226152475000003
*C(C)=C(*)[Si](C)(C)CCC,2.4956113165
*C(C)=C(*)[Si](C)(C)CCCC,1.812913357
*C(C)=C(*)[Si](C)(C)CCCCCC,1.913160492
*C(C)=C(*)[Si](C)(C)CCCCCCCC,1.672097858
*C(C)=C(*)[Si](C)(C)c1ccccc1,1.146128036
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,2.707570176
*C(Cl)=C(*)c1ccccc1,1.651278014
*C(F)(F)C(*)(F)Cl,0.612890346
*C*,1.4017669943666666
*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,3.31386722
*C1C2CC(C1*)C([Si](C)(C)C)C2,3.6287002635
