smiles,log10_He_Bayesian
*/C(=C(\*)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1)c1ccccc1,2.3227111345
*/C(=C(\*)c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1)c1ccccc1,2.568201724
*/C(=C(\*)c1ccc(-c2ccccc2)cc1)c1ccccc1,2.301029996
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,2.278753601
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,2.72427587
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccccc1,3.180977978
*/C(=C(\*)c1ccc(C(C)C)cc1)c1ccccc1,2.656669204
*/C(=C(\*)c1ccc(CCCC)cc1)c1ccccc1,2.021143347
*/C(=C(\*)c1ccc(C[Si](C)(C)C)cc1)c1ccccc1,2.380211242
*/C(=C(\*)c1ccc(O[Si](C)(C)C(C)(C)C)cc1)c1ccc(F)cc1,2.2442753585
*/C(=C(\*)c1ccc(S(=O)(=O)O)cc1)c1ccc(C(C)(C)C)cc1,2.039797565
*/C(=C(\*)c1ccc(S(=O)(=O)O)cc1)c1ccc(S(=O)(=O)O)cc1,1.188451054
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,2.748188027
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,2.897627091
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,3.123231539
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)(C)C)cc1,1.924983692
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1,1.938135094
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(CCCC)cc1,1.879477653
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccccc1,1.960184146
*/C(=C(\*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,4.0127553365
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,4.136720567
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,3.963787827
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,3.698970004
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,3.968482949
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,4.250420002
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,4.198657087
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cccc(F)c1,4.10720997
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,4.049218023
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,3.544068044
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,3.176091259
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,3.531478917
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,3.322219295
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,3.531478917
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,3.431363764
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,3.698970004
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,3.662757832
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,2.6986222905000004
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cccc(F)c1,3.612783857
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,3.47604315875
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,2.924279286
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,2.865898395
*/C(=C(\*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,2.72427587
*/C(=C(\*)c1ccc2c(c1)CCC2)c1ccccc1,2.301029996
*/C(=C(\*)c1cccc(O)c1)c1ccc(C(C)(C)C)cc1,2.908485019
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,3.204119983
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc([Si](C)(C)C)cc1,2.924279286
*/C(=C(\*)c1ccccc1)c1ccccc1,3.089843507
*/C=C/CC*,1.9984490895
*=CC1CC(C=*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,2.62324929
*C(*)(F)F,0.257923777
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3C)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.164087773
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.534902351
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,0.431363764
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)c(C)c2)cc1C,0.875991827
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,0.397940009
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,0.72427587
*C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,0.531478917
*C(=O)Oc1c(C)cc(C(c2cc(C)c(OC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)c(C)c2)(C(F)(F)F)C(F)(F)F)cc1C,1.761998828
*C(=O)Oc1ccc(C(c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.576830718
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(*)cc4C3=O)c(C)c1C)C2=O,1.810376409
*C(C)=C(*)[Si](C)(C)C,3.6204885019375
*C(C)=C(*)[Si](C)(C)C(C)C,2.832508913
*C(C)=C(*)[Si](C)(C)CC,2.8681474409999996
*C(C)=C(*)[Si](C)(C)CCC,2.2478902865
*C(C)=C(*)[Si](C)(C)CCCC,1.792391689
*C(C)=C(*)[Si](C)(C)CCCCCC,1.715527432
*C(C)=C(*)[Si](C)(C)CCCCCCCC,1.568201724
*C(C)=C(*)[Si](C)(C)c1ccccc1,0.919078092
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,2.431363764
*C(Cl)=C(*)c1ccccc1,1.541579244
*C(F)(F)C(*)(F)Cl,0.708093002625
*C*,1.2045007702166666
*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,2.968482949
*C1C2CC(C1*)C([Si](C)(C)C)C2,3.3852416334999997
*C1CCCCC1*,4.464118385
*C=C(*)C(C)(C)C,2.528894329
*C=C(*)c1cc(C(F)(F)F)oc1C(F)(F)F,2.874572518
*C=C(*)c1cc(C(F)(F)F)sc1C(F)(F)F,2.723035803
*C=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1,1.681241237
*C=CC1CC(*)C([Si](C)(C)C)C1,1.782932755
*C=CC1CC(*)C([Si](C)(C)C[Si](C)(C)C)C1,1.58334988
*C=CC1CCC(*)C1,1.098602377
*C=CCC*,1.881909441
*C=CCCC*,2.380211242
*C=Cc1ccc(*)cc1[Si](C)(C)C(C)(C)C,1.494883123
*C=Cc1ccc(*)cc1[Si](C)(C)CCCC,1.242102293
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCC,1.614504413
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCCCCCCCCCCCCC,1.590130005
*C=Cc1ccc(*)cc1[Si](CC)(CC)CC,1.487183099
*CC(*)(C)C,1.3160329241666666
*CC(*)(C)C#N,-1.296952218
*CC(*)(C)C(=O)OC,0.65110208725
*CC(*)(C)C(=O)OCC,0.938707454
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCC)cc2)cc1,2.55696184
*CC(*)(C)C(=O)OCCO,1.4046659082
*CC(*)(Cl)Cl,-0.6922749481428572
*CC(*)(F)F,0.1769643688
*CC(*)C,1.0371663501875
*CC(*)C#N,-1.65874037725
*CC(*)C(=O)OC,1.093421685
*CC(*)C(=O)OCC,1.643452676
*CC(*)C(=O)OCCCCCCCCCC,1.755874856
*CC(*)C(=O)OCCCCCCCCCCCCCC,1.723455672
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,1.837588438
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,1.866287339
*CC(*)C(C)=O,0.602059991
*CC(*)CC(C)C,1.956961005375
*CC(*)CCCC,4.494779378
*CC(*)Cl,0.30209501720000004
*CC(*)F,0.113943352
*CC(*)N1CCCC1=O,-0.366510417
*CC(*)O,0.9146112748461538
*CC(*)OC,1.301029996
*CC(*)OC(=O)C1CCCCC1,1.108425289
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1.413973102
*CC(*)OC(=O)c1ccc(C)cc1,1.045116555
*CC(*)OC(=O)c1ccccc1,1.025690925
*CC(*)OC(C)=O,0.7370452940000001
*CC(*)OC1C2CC3CC(C2)CC1C3,1.431928904
*CC(*)OC1CC2CCC1C2,1.1759908645
*CC(*)OC1CCCCC1,1.295271059
*CC(*)OCC,0.204119983
*CC(*)OCC1CC2CC1C1CCCC21,0.878731006
*CC(*)OCC1CCCCC1,1.00977668
*CC(*)OCc1ccccc1,1.071658928
*CC(*)[Si](C)(C)C,2.09384495375
*CC(*)c1ccccc1,1.1256357387058824
*CC(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.079181246
*CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1,0.079181246
*CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.556302501
*CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2)cc1,0.579783597
*CC(=O)Nc1ccc(Oc2cccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)c2)cc1,0.51851394
*CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.431363764
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)CN(C)C,0.135426122
*CC(C)(COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1)CN(C)C,0.145316725
*CC(C)O*,1.137121043
*CC(CCl)O*,0.740362689
*CC(CO*)(CS(C)(=O)=O)CS(C)(=O)=O,-0.412040928
*CC(COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl)OC(C)=O,0.229996042
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CC,0.486322451
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CCl,-0.077064526
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,0.343479597
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1Cl,-0.039589402
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(C)=O,0.442868103
*CC(COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,0.214472436
*CC(COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1)OC(C)=O,0.2854702
*CC(COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1)OC(C)=O,0.442868103
*CC(COc1ccc(O*)cc1)OC(C)=O,-0.389135761
*CC(COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1)OC(C)=O,-0.22660596
*CC(CS(=O)(=O)C(C)C)O*,0.295107178
*CC(CS(=O)(=O)CC)O*,-0.536190424
*CC(CS(=O)(=O)CCC)O*,0.487961896
*CC(CS(=O)(=O)CCCC)O*,0.678176177
*CC(CS(=O)(=O)CCCCC)O*,0.693699783
*CC(CS(C)(=O)=O)O*,-1.121077292
*CC(O)COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl,-0.30265447850000005
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)c(Cl)c2)cc1Cl,-0.395834342
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,-0.1546836845
*CC(O)COc1ccc(C(C)(CC)c2ccc(O*)cc2)cc1,-0.087166035
*CC(O)COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1,-0.077064526
*CC(O)COc1ccc(C2CC(C(C)C)CCC2(C)c2ccc(O*)cc2)cc1,0.624230075
*CC(O)COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1,0.122940399
*CC(O)COc1ccc(Cc2ccc(O*)cc2)cc1,-0.297603724
*CC(O)COc1ccc(O*)cc1,-0.969322827
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,-0.5231936765
*CC/C=C(/*)C,1.924684166875
*CC1CC(*)OC(C)O1,0.397940009
*CC1CC(*)OC(CCC)O1,0.8242652393333333
*CC1CC(*)OCO1,0.113943352
*CC1CC(C*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,2.477121255
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,0.428989294
*CCC1CC(=O)N(*)C1=O,2.169327783
*CCC=C(*)Cl,1.1517917318
*CCCCCC(=O)N*,-0.7090404074444445
*CCCCCC(=O)O*,1.170194869
*CCCCCCCC(=O)N*,-0.804266352
*CCCCCCCCCCCC(=O)N*,-0.514420523
*CCCCCCCCCCOC(=O)O*,1.239785828
*CCCCCNC(=O)CCCCC(=O)N*,-0.236254444
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,0.269979677
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)O*,-0.492037695
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,-0.798120474
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)c1ccccc1C(=O)O*,-0.879204166
*CCCS(=O)(=O)CCCS(=O)(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,-0.775217401
*CCCS(=O)(=O)CCCS(=O)(=O)CCCOC(=O)c1ccccc1C(=O)O*,-0.84974855
*CCC[Si](*)(C)C,1.259778955
*CCC[Si](C)(C)O[Si](C)(C)CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,0.902708368
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.25518426687096774
*CCOC(=O)c1ccc(O*)cc1,-1.384351707
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,-0.278533463
*CCOC(=O)c1cccc(C(=O)O*)c1,-0.478916342
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,-0.816953925
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,-0.334203715
*CCc1cc(Cl)c(*)c(Cl)c1,0.36508593349999996
*CCc1ccc(*)c(Br)c1,-0.0465867295
*CCc1ccc(*)c(C#N)c1,0.247760863
*CCc1ccc(*)c(C)c1,-0.034884882
*CCc1ccc(*)c(CC)c1,0.621285928
*CCc1ccc(*)c(Cl)c1,0.1212817635
*CCc1ccc(*)cc1,0.101050954
*CN1CN(*)Cc2cc(C3(c4cc(*)c(*)c(C)c4)C4CC5CC(C4)CC3C5)cc(C)c21,2.502312279
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,3.351639921
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,2.938490902
*CN1CN(*)Cc2cc3c(cc21)C1c2ccccc2C3c2cc(*)c(*)cc21,3.3011960026666665
*CN1CN(*)Cc2cc3cc4c(cc3cc21)C1CC4c2cc3cc4c(cc3cc21)CN(*)CN4C*,2.8388855275
*CN1Cc2cc3c(cc2N(*)C1)C1c2cc(*)c(*)cc2C3c2cc3cc4c(cc3cc21)C(C)(C)CCC4(C)C,3.361727836
*CO*,0.374259156
*COC(=O)NCCCCCCNC(=O)OCc1cccc(*)n1,-0.679164353
*COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cccc(*)n3)cc2)cc1,-0.149347903
*C[Si](*)(C)C,2.009693247
*Cc1ccc(C*)c(Cl)c1,-0.004364805
*Cc1ccc(C*)cc1,0.397940009
*N=P(*)(Oc1ccccc1)Oc1ccccc1,0.667452953
*N=P(N=P(N=S(*)(=O)NCC)(NCC)NCC)(NCC)NCC,1.071070156
*N=P(N=P(N=S(*)(=O)NCCC)(NCCC)NCCC)(NCCC)NCCC,1.407373714
*N=P(N=P(N=S(*)(=O)NCCCC)(NCCCC)NCCCC)(NCCCC)NCCCC,1.723397432
*N=P(N=P(N=S(*)(=O)NCCCCCC)(NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC,1.759560509
*N=P(N=P(N=S(*)(=O)NCCCCCCC)(NCCCCCCC)NCCCCCCC)(NCCCCCCC)NCCCCCCC,1.740600044
*NC(CC(C)C)C(*)=O,1.56535284
*NC(CCC(=O)O)C(*)=O,-1.084473556
*NC(CCC(=O)OC)C(*)=O,0.565431998
*NC(CCC(=O)OCc1ccccc1)C(*)=O,0.330526127
*NC(CCCCNC(=O)OCc1ccccc1)C(*)=O,-0.341227388
*NC(CCCCSC)C(*)=O,0.349499548
*Nc1ccc(*)cc1,0.3820880665
*Nc1ccc(*)cc1OC,0.791690649
*Nc1ccc(*)cc1OCC,0.98811284
*OC(=O)C(*)C,0.448612684
*OC(C)CC(*)=O,0.229056173
*OC1C(C)(C)C(OC(*)=O)C1(C)C,1.875061263
*OC1C(CO)OC(*)C(O)C1O,-2.236885255
*OC1C(COC(C)=O)OC(*)C(OC(C)=O)C1OC(C)=O,0.7864883346666667
*OC1C(COC)OC(*)C(OC)C1OC,0.96907616
*OC1C(COCC)OC(*)C(OCC)C1OCC,1.612783857
*OC1OC(OC(C)=O)C(*)C(OC(C)=O)C1OC(C)=O,1.0501852725
*OC1OC(OCC)C(*)C(OCC)C1OCC,1.669719195
*O[Si](*)(C)C,2.5194999803333333
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,1.423964347
*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)c(Br)c3)CC(C)CC(C)(C)C2)cc1Br,1.751032808
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1cc(C)c(C)cc1C31c2cc(*)c(*)cc2-c2cc(C)c(C)cc21,3.361604655
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1cc2c(cc1C31c3cc(*)c(*)cc3-c3cc4c(cc31)C(C)(C)CCC4(C)C)C(C)(C)CCC2(C)C,3.122400711
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccc(C(C)(C)C)cc1C31c2cc(C(C)(C)C)ccc2-c2cc(*)c(*)cc21,3.288159155
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccc(C)cc1C31c2cc(C)ccc2-c2cc(*)c(*)cc21,3.2264373219999998
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccccc1C31c2cc(*)c(*)cc2-c2cc(C)c(C)cc21,3.1992451725
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccccc1C31c2ccccc2-c2cc(*)c(*)cc21,3.1903278244999997
*Oc1c(C)cc(*)cc1C,1.8580124390000001
*Oc1c(C)cc(-c2cc(C)c(Oc3ccc(C(=O)c4ccc(*)c(S(=O)(=O)O)c4)cc3S(=O)(=O)O)c(C)c2)cc1C,0.8884214318333333
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,1.534297683
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,1.505149978
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3cccc(C(*)=O)c3)c(C)c2)cc1C,1.491361694
*Oc1c(C)cc(C2(c3cc(C)c(OC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)c(C)c3)CC(C)CC(C)(C)C2)cc1C,2.007446554
*Oc1c(C)cc(C2CCC(C(C)(C)c3cc(C)c(OC(=O)c4ccc(C(*)=O)cc4)c(C)c3)CC2C)cc1C,2.170261715
