,smiles,alpha
0,C,13.21
1,N,9.46
2,O,6.31
3,C#C,16.28
4,C#N,12.99
5,C=O,14.18
6,CC,23.95
7,CO,16.97
8,CC#C,28.78
9,CC#N,24.45
10,CC=O,25.11
11,C(=O)N,21.57
12,CCC,34.75
13,CCO,27.87
14,COC,28.13
15,C1CC1,30.82
16,C1CO1,24.04
17,CC(=O)C,35.53
18,CC(=O)N,31.83
19,C(=O)(N)N,28.07
20,CC(C)C,45.46
21,CC(C)O,38.58
22,C#CC#C,38.52
23,C#CC#N,32.66
24,C(#N)C#N,27.7
25,C#CC=O,31.14
26,C(=O)C#N,26.25
27,C(=O)C=O,26.12
28,CC#CC,42.32
29,CCC#C,40.09
30,CCC#N,35.38
31,C(C#N)N,31.81
32,C#CCO,33.1
33,C(C#N)O,28.56
34,CCC=O,35.83
35,CNC=O,32.78
36,COC=O,29.47
37,C(C=O)O,28.53
38,CCCC,45.71
39,CCCO,38.61
40,CCOC,39.34
41,C(CO)O,31.42
42,CC1CC1,41.96
43,CC1CO1,35.01
44,CN1CC1,39.02
45,C1CC1O,34.64
46,C1CCC1,41.83
47,C1COC1,34.56
48,CC(=NO)C,45.37
49,c1cc[nH]c1,43.14
50,c1cnc[nH]1,39.13
51,c1ccoc1,39.2
52,c1cocn1,35.17
53,CC(C)(C)C,56.01
54,CC(C)(C)O,49.04
55,CC(=O)C#C,42.02
56,CC(=O)C#N,37.08
57,C(#N)C(=N)N,38.31
58,C#CC(=O)N,38.29
59,CC(=O)C=O,36.51
60,C(=O)C(=N)N,38.09
61,C(=O)C(=O)N,33.39
62,CC(C)C#C,51.2
63,CC(C)C#N,46.23
64,CC(N)C#N,42.87
65,CC(O)C#C,44.03
66,CC(O)C#N,39.28
67,CC(C)C=O,46.58
68,CC(O)C=O,39.16
69,CN(C)C=O,44.42
70,CC(=O)CO,39.33
71,CCC(=O)C,46.19
72,CCC(=O)N,42.54
73,CC(=O)NC,43.61
74,CNC(=O)N,39.51
75,COC(C)=N,43.57
76,CC(=O)OC,39.33
77,COC(=O)N,35.5
78,C(C(=O)N)O,35.87
79,[NH3+]CC([O-])=O,35.19
80,CC(C)CO,49.26
81,CC(O)CO,42.01
82,CCC(C)C,56.26
83,CCC(C)O,49.45
84,CC(C)OC,49.8
85,CC1(CC1)C,52.92
86,CC1(CO1)C,45.7
87,CC1(CC1)O,45.85
88,N=C1CCO1,40.19
89,C1CC(=O)C1,42.77
90,C1CNC1=O,39.73
91,C1COC1=O,35.4
92,C1C(=O)CN1,39.34
93,C1C(=O)CO1,35.94
94,CC1CCC1,52.94
95,CC1CCO1,45.72
96,CC1COC1,45.45
97,C1CC(C1)O,45.55
98,C1C(CO1)O,38.58
99,CC1CC1C,52.92
100,CC1CC1O,45.84
101,CC1CN1C,49.79
102,CC1OC1C,46.02
103,OC1CC1O,38.43
104,C1C2CC1C2,49.82
105,C1C2CC1O2,42.39
106,C#CCC#C,45.22
107,C#CCC#N,40.56
108,C(C#N)C#N,36.12
109,C#CCC=O,41.41
110,C(C=O)C#N,36.79
111,C(=N)NC=O,38.8
112,N=COC=O,35.69
113,C(=O)NC=O,34.31
114,CC#CC#C,54.54
115,CC#CC#N,47.82
116,CC#CC=O,45.67
117,CC#CCO,46.92
118,CCC#CC,53.93
119,CN=COC,46.78
120,CCCC#C,51.47
121,CCCC#N,46.62
122,CNCC#N,43.52
123,COCC#C,45.04
124,COCC#N,40.22
125,C#CCCO,44.05
126,C(CO)C#N,39.41
127,CCCC=O,47.03
128,CCNC=O,43.88
129,CCOC=O,40.48
130,COCC=O,40.04
131,C(CO)C=O,39.92
132,CCCCC,56.8
133,CCCCO,49.63
134,CCCOC,50.27
135,CCOCC,50.62
136,COCCO,42.99
137,C(CO)CO,42.52
138,C#CC1CC1,48.65
139,C#CC1CN1,45.22
140,C#CC1CO1,41.39
141,C1CC1C#N,43.5
142,N#CC1CN1,40.21
143,N#CC1CO1,36.45
144,C1CC1C=O,44.1
145,O=CC1CN1,40.19
146,O=CC1CO1,36.8
147,C1CN1C=O,40.77
148,CCC1CC1,52.9
149,CCC1CO1,45.95
150,CCN1CC1,50.07
151,COC1CC1,46.29
152,C1CC1CO,46.01
153,OCC1CN1,42.64
154,OCC1CO1,38.7
155,C1CC=CC1,50.34
156,C1COC=N1,38.7
157,C1C=CCO1,43.73
158,C1CCCC1,52.0
159,C1CCOC1,45.06
160,C1COCO1,38.2
161,C1C2CCC12,48.92
162,C1C2COC12,41.77
163,C1CC2OC12,41.8
164,c1c[nH]nc1,39.17
165,c1cnn[nH]1,35.66
166,c1[nH]ncn1,35.01
167,c1[nH]cnn1,35.27
168,c1cn[nH]n1,35.3
169,c1cnoc1,35.74
170,c1conn1,32.49
171,c1ncon1,31.56
172,c1nnco1,31.41
173,c1nnno1,28.58
174,c1cnon1,32.29
175,c1nnon1,28.86
176,n1nnon1,25.66
177,CC(=NO)C#C,54.16
178,CC(=NO)CO,49.13
179,CCC(=NO)C,56.46
180,C1CC(=NO)C1,53.48
181,C1C(=NO)CN1,49.95
182,C1C(=NO)CO1,46.34
183,C(F)(F)(F)F,15.93
184,N=C1NC=CO1,44.74
185,N=C1OC=CO1,40.77
186,c1c[nH]c(=O)[nH]1,43.39
187,c1coc(=O)[nH]1,39.72
188,c1coc(=O)o1,36.02
189,Cc1ccc[nH]1,55.77
190,Cc1ccco1,51.86
191,Cc1cnco1,47.63
192,Cc1ncco1,47.52
193,c1cc([nH]c1)N,51.62
194,c1cc(oc1)N,48.3
195,c1c(ocn1)N,44.3
196,c1coc(n1)N,43.86
197,c1cc([nH]c1)O,47.38
198,c1c([nH]cn1)O,43.45
199,c1cnc([nH]1)O,43.23
200,Cc1cc[nH]c1,55.32
201,Cc1c[nH]cn1,51.32
202,Cc1ccoc1,51.11
203,Cc1cocn1,47.12
204,c1c[nH]cc1N,51.67
205,c1c(nc[nH]1)N,47.82
206,c1cocc1N,47.62
207,c1c(nco1)N,43.75
208,c1c[nH]cc1O,47.51
209,c1c(nc[nH]1)O,43.71
210,c1c(nco1)O,39.79
211,Cn1cccc1,55.54
212,Cn1ccnc1,51.11
213,c1ccccc1,57.28
214,c1ccncc1,53.03
215,c1cnccn1,49.2
216,c1cncnc1,48.47
217,c1ncncn1,43.74
218,CC(C)(C)C#C,62.05
219,CC(C)(C)C#N,56.9
220,CC(C)(C#N)N,53.67
221,CC(C)(C#C)O,54.93
222,CC(C)(C#N)O,49.98
223,CC(C)(C)C=O,56.92
224,CC(C)(C=O)O,49.7
225,CC(C)(C)CO,59.72
226,CC(C)(CO)O,52.67
227,CCC(C)(C)C,66.63
228,CCC(C)(C)O,59.74
229,CC(C)(C)OC,60.03
230,CC#CC(=O)C,56.61
231,CC#CC(=O)N,52.6
232,CC#CC(C)C,65.24
233,CC#CC(C)O,57.94
234,CC(=O)CC#C,51.94
235,CC(=O)CC#N,47.48
236,C#CCC(=O)N,48.37
237,C(C#N)C(=O)N,43.68
238,CC(=N)NC=O,50.18
239,CC(=N)OC=O,45.3
240,CC(=O)CC=O,48.15
241,CC(=O)NC=N,49.82
242,CC(=O)NC=O,45.18
243,CC(=O)OC=N,45.91
244,C(=O)NC(=N)N,46.25
245,C(C=O)C(=O)N,44.18
246,C(=N)NC(=O)N,46.05
247,C(=O)NC(=O)N,41.58
248,NC(=O)OC=N,42.07
249,CC(C)CC#C,62.17
250,CC(C)CC#N,57.19
251,CC(O)CC#C,54.82
252,CC(O)CC#N,50.45
253,CN(C)CC#N,54.43
254,CC(C)CC=O,57.47
255,CC(C)NC=O,54.8
256,CC(C)OC=O,51.48
257,CC(O)CC=O,50.52
258,CN(C)CC=O,54.59
259,CC(=O)CCO,50.08
260,CCCC(=O)C,57.31
261,CCCC(=O)N,53.75
262,CCNC(=O)C,54.72
263,CCNC(=O)N,50.96
264,CCOC(=O)C,50.66
265,CCOC(=O)N,46.82
266,C[NH2+]CC([O-])=O,46.17
267,CC(=O)COC,51.17
268,COCC(=O)N,47.53
269,C(CO)C(=O)N,46.39
270,[NH3+]CCC([O-])=O,54.51
271,CC(C)CCO,60.25
272,CC(O)CCO,53.18
273,CCCC(C)C,67.45
274,CCCC(C)O,60.39
275,CCOC(C)C,61.19
276,CC(C)COC,61.01
277,COCC(C)O,53.61
278,CC(=O)C(=O)C,47.03
279,CC(=O)C(=N)N,48.43
280,CC(=O)C(=O)N,43.45
281,NC(=[NH2+])C([O-])=O,41.06
282,C(=O)(C(=O)N)N,39.85
283,CC(C)C(=O)C,56.8
284,CC(C)C(=O)N,53.35
285,CC([NH3+])C([O-])=O,45.76
286,CC(O)C(C)=O,49.94
287,CC(O)C(N)=O,46.24
288,CC(=O)N(C)C,54.99
289,CN(C)C(=O)N,50.94
290,CC(C)C(C)C,66.87
291,CC(C)C(C)O,59.83
292,CC(O)C(C)O,52.62
293,CC1(CCC1)C,63.32
294,CC1(CCO1)C,56.17
295,CC1(COC1)C,56.09
296,CC1(CCC1)O,56.29
297,CC1(COC1)O,49.2
298,CC1(C)CC1O,56.93
299,CC1(O)CC1O,49.85
300,CC1CC1(C)C,64.09
301,CC1CC1(C)O,56.95
302,CC1OC1(C)C,56.95
303,CC1(CN1C)C,60.96
304,CC1CC(=N)O1,51.41
305,CC1CC(=O)C1,53.83
306,CC1CC(=O)N1,50.75
307,CC1CC(=O)O1,46.42
308,CN1CC(=O)C1,51.1
309,C1C(CC1=O)O,46.78
310,CC1CC(C)C1,64.11
311,CC1CC(C)O1,56.92
312,CC1CC(O)C1,56.88
313,CN1CC(C1)O,53.9
314,OC1CC(O)C1,49.09
315,CC12CC(C1)C2,61.09
316,CC12CC(C1)O2,53.68
317,CC12CN(C1)C2,57.23
318,OC12CC(C1)C2,53.49
319,OC12CN(C1)C2,50.04
320,C#CC(=O)C#C,50.23
321,C#CC(=O)C#N,44.9
322,C(#N)C(=O)C#N,39.71
323,C#CC(=O)C=O,43.98
324,C(=O)C(=O)C#N,38.68
325,C(=O)C(=O)C=O,37.46
326,CC(C#C)C#C,56.95
327,CC(C#C)C#N,51.99
328,CC(C#N)C#N,47.23
329,NC(C#C)C#N,48.67
330,C(#N)C(C#N)N,43.93
331,C#CC(C#C)O,49.83
332,OC(C#C)C#N,45.03
333,C(#N)C(C#N)O,40.41
334,CC(C=O)C#C,52.76
335,CC(C=O)C#N,47.71
336,OC(C=O)C#C,45.31
337,OC(C=O)C#N,40.49
338,CC(C=O)C=O,48.36
339,CN(C=N)C=O,51.06
340,CN(C=O)C=O,45.8
341,C(=O)C(C=O)O,41.69
342,CN=C(C#N)N,50.92
343,CN=C(C=O)N,50.95
344,CCC(=O)C#C,53.26
345,CCC(=O)C#N,48.11
346,CNC(=N)C#N,50.21
347,CNC(=O)C#C,51.0
348,COC(=O)C#C,46.66
349,COC(=O)C#N,41.61
350,C#CC(=O)CO,46.43
351,C(C(=O)C#N)O,41.54
352,CCC(=O)C=O,47.28
353,CNC(=N)C=O,49.61
354,CNC(=O)C=O,45.79
355,COC(=O)C=O,40.92
356,C(C(=O)C=O)O,41.26
357,CCC(=O)CC,57.0
358,CCC(=O)CO,50.24
359,CCC(=O)NC,54.61
360,CCC(=O)OC,50.2
361,CNC(=O)CO,47.75
362,CNC(=O)NC,51.35
363,CNC(=O)OC,47.42
364,COC(=O)CN,46.49
365,COC(=O)CO,43.25
366,C(C(=O)CO)O,43.53
367,CC(=NC)OC,55.68
368,CC(CO)C#C,55.08
369,CC(CO)C#N,50.15
370,CCC(C)C#C,62.36
371,CCC(C)C#N,57.23
372,CCC(N)C#N,54.01
373,CCC(O)C#C,55.33
374,CCC(O)C#N,50.37
375,CNC(C)C#N,54.08
376,COC(C)C#C,55.84
377,COC(C)C#N,50.59
378,NC(CO)C#N,46.66
379,NCC(N)C#N,50.26
380,NCC(O)C#N,46.88
381,OCC(O)C#C,48.25
382,OCC(O)C#N,43.5
