,smiles,cv
0,C,6.469
1,N,6.316
2,O,6.002
3,C#C,8.574
4,C#N,6.278
5,C=O,6.413
6,CC,10.098
7,CO,8.751
8,CC#C,12.482
9,CC#N,10.287
10,CC=O,11.219
11,C(=O)N,10.89
12,CCC,14.84
13,CCO,13.546
14,COC,12.934
15,C1CC1,11.041
16,C1CO1,9.176
17,CC(=O)C,16.893
18,CC(=O)N,16.561
19,C(=O)(N)N,15.292
20,CC(C)C,20.273
21,CC(C)O,19.052
22,C#CC#C,15.312
23,C#CC#N,12.93
24,C(#N)C#N,10.398
25,C#CC=O,13.049
26,C(=O)C#N,11.329
27,C(=O)C=O,12.147
28,CC#CC,17.447
29,CCC#C,17.13
30,CCC#N,14.988
31,C(C#N)N,14.488
32,C#CCO,15.855
33,C(C#N)O,13.845
34,CCC=O,15.954
35,CNC=O,15.058
36,COC=O,13.885
37,C(C=O)O,14.78
38,CCCC,19.668
39,CCCO,18.431
40,CCOC,17.888
41,C(CO)O,16.837
42,CC1CC1,16.49
43,CC1CO1,14.764
44,CN1CC1,15.298
45,C1CC1O,15.679
46,C1CCC1,14.696
47,C1COC1,12.915
48,CC(=NO)C,21.616
49,c1cc[nH]c1,14.821
50,c1cnc[nH]1,13.371
51,c1ccoc1,13.358
52,c1cocn1,12.04
53,CC(C)(C)C,26.084
54,CC(C)(C)O,25.128
55,CC(=O)C#C,18.723
56,CC(=O)C#N,16.963
57,C(#N)C(=N)N,17.465
58,C#CC(=O)N,18.527
59,CC(=O)C=O,17.806
60,C(=O)C(=N)N,17.972
61,C(=O)C(=O)N,17.525
62,CC(C)C#C,22.569
63,CC(C)C#N,20.467
64,CC(N)C#N,19.946
65,CC(O)C#C,21.306
66,CC(O)C#N,19.252
67,CC(C)C=O,21.434
68,CC(O)C=O,20.344
69,CN(C)C=O,19.918
70,CC(=O)CO,19.824
71,CCC(=O)C,21.716
72,CCC(=O)N,21.374
73,CC(=O)NC,20.967
74,CNC(=O)N,20.274
75,COC(C)=N,20.256
76,CC(=O)OC,19.501
77,COC(=O)N,19.084
78,C(C(=O)N)O,20.089
79,[NH3+]CC([O-])=O,17.931
80,CC(C)CO,23.924
81,CC(O)CO,22.072
82,CCC(C)C,25.169
83,CCC(C)O,23.99
84,CC(C)OC,23.573
85,CC1(CC1)C,22.258
86,CC1(CO1)C,20.719
87,CC1(CC1)O,21.17
88,N=C1CCO1,15.51
89,C1CC(=O)C1,17.076
90,C1CNC1=O,16.1
91,C1COC1=O,14.483
92,C1C(=O)CN1,16.083
93,C1C(=O)CO1,15.115
94,CC1CCC1,20.299
95,CC1CCO1,18.582
96,CC1COC1,18.443
97,C1CC(C1)O,19.023
98,C1C(CO1)O,17.344
99,CC1CC1C,22.005
100,CC1CC1O,20.702
101,CC1CN1C,20.993
102,CC1OC1C,20.451
103,OC1CC1O,19.173
104,C1C2CC1C2,15.584
105,C1C2CC1O2,14.648
106,C#CCC#C,19.399
107,C#CCC#N,17.258
108,C(C#N)C#N,15.259
109,C#CCC=O,18.303
110,C(C=O)C#N,16.279
111,C(=N)NC=O,16.694
112,N=COC=O,15.704
113,C(=O)NC=O,15.692
114,CC#CC#C,19.382
115,CC#CC#N,17.054
116,CC#CC=O,18.156
117,CC#CCO,20.884
118,CCC#CC,22.115
119,CN=COC,20.343
120,CCCC#C,22.023
121,CCCC#N,19.863
122,CNCC#N,19.026
123,COCC#C,20.194
124,COCC#N,18.14
125,C#CCCO,20.716
126,C(CO)C#N,18.636
