,smiles,zpve
0,C,0.044749
1,N,0.034358
2,O,0.021375
3,C#C,0.026841
4,C#N,0.016601
5,C=O,0.026603
6,CC,0.074542
7,CO,0.051208
8,CC#C,0.05541
9,CC#N,0.045286
10,CC=O,0.055355
11,C(=O)N,0.045279
12,CCC,0.103182
13,CCO,0.079754
14,COC,0.079534
15,C1CC1,0.081231
16,C1CO1,0.057289
17,CC(=O)C,0.083382
18,CC(=O)N,0.07319
19,C(=O)(N)N,0.063824
20,CC(C)C,0.131146
21,CC(C)O,0.107673
22,C#CC#C,0.037354
23,C#CC#N,0.027259
24,C(#N)C#N,0.015951
25,C#CC=O,0.037208
26,C(=O)C#N,0.02654
27,C(=O)C=O,0.036943
28,CC#CC,0.083896
29,CCC#C,0.084338
30,CCC#N,0.07419
31,C(C#N)N,0.063305
32,C#CCO,0.060632
33,C(C#N)O,0.050262
34,CCC=O,0.084175
35,CNC=O,0.074166
36,COC=O,0.061327
37,C(C=O)O,0.060508
38,CCCC,0.131708
39,CCCO,0.108241
40,CCOC,0.107895
41,C(CO)O,0.085172
42,CC1CC1,0.109284
43,CC1CO1,0.085275
44,CN1CC1,0.097671
45,C1CC1O,0.085106
46,C1CCC1,0.110511
47,C1COC1,0.086675
48,CC(=NO)C,0.100501
49,c1cc[nH]c1,0.082433
50,c1cnc[nH]1,0.071145
51,c1ccoc1,0.069883
52,c1cocn1,0.058593
53,CC(C)(C)C,0.158836
54,CC(C)(C)O,0.134977
55,CC(=O)C#C,0.065175
56,CC(=O)C#N,0.05451
57,C(#N)C(=N)N,0.056619
58,C#CC(=O)N,0.054731
59,CC(=O)C=O,0.064992
60,C(=O)C(=N)N,0.067668
61,C(=O)C(=O)N,0.054577
62,CC(C)C#C,0.112471
63,CC(C)C#N,0.102281
64,CC(N)C#N,0.091554
65,CC(O)C#C,0.088908
66,CC(O)C#N,0.078602
67,CC(C)C=O,0.112328
68,CC(O)C=O,0.088443
69,CN(C)C=O,0.10227
70,CC(=O)CO,0.088924
71,CCC(=O)C,0.112006
72,CCC(=O)N,0.101847
73,CC(=O)NC,0.101735
74,CNC(=O)N,0.091713
75,COC(C)=N,0.102062
76,CC(=O)OC,0.089436
77,COC(=O)N,0.079271
78,C(C(=O)N)O,0.078222
79,[NH3+]CC([O-])=O,0.080317
80,CC(C)CO,0.136209
81,CC(O)CO,0.11345
82,CCC(C)C,0.159632
83,CCC(C)O,0.136091
84,CC(C)OC,0.135681
85,CC1(CC1)C,0.137025
86,CC1(CO1)C,0.112851
87,CC1(CC1)O,0.113237
88,N=C1CCO1,0.080558
89,C1CC(=O)C1,0.090544
