,phi_composition_average,AtomicNumber_min_value,AtomicWeight_min_value,k_condition,Number_min_value,BCCvolume_padiff_composition_average,ThermalExpansionCoefficient_min_value,ElectronAffinity_difference,ShearModulus_composition_average,CovalentRadius_max_value,phi_max_value,BulkModulus_min_value,NUnfilled_composition_average,ICSDVolume_max_value,BCCfermi_max_value,HeatFusion_max_value,NpValence_composition_average,valence_composition_average,NValance_composition_average,IsBoron_arithmetic_average,CovalentRadius_arithmetic_average,n_ws^third_difference,ThermalConductivity_composition_average,GSenergy_pa_composition_average,IonizationEnergy_min_value,target
0,2.525,4.0,9.012182,300.0,4.0,-5.1284375,11.3,0.0,66.0,105.0,5.05,7.7,1.0,25.7,8.09610906,7.895,2.0,4.0,4.0,0.0,100.5,0.0,100.1345,-3.926127706875001,899.4,2.195899652
1,2.025,16.0,32.065,300.0,16.0,-5.0059375,30.8,0.0,9.5,144.0,4.05,7.7,1.0,25.7,7.76558603,6.21,2.0,4.0,9.0,0.0,124.5,0.0,48.5345,-2.454695471875,867.7,2.195899652
2,5.48,7.0,14.0067,300.0,7.0,-4.353125,19.7,36.0,0.0,122.0,6.86,0.0,4.0,22.6,6.27497729,5.585,2.0,4.0,9.0,0.5,96.5,0.3399999999999998,20.31299,-5.61184825625,578.8,1.298853076
3,2.05,8.0,15.9994,300.0,8.0,-0.7875,30.2,0.0,21.5,122.0,4.1,70.0,1.0,17.3,3.91507328,7.068,2.0,2.0,9.0,0.0,94.0,0.0,58.1337,-2.99839591,906.4,1.298853076
4,2.05,30.0,65.38,300.0,30.0,-2.775,30.2,0.0,23.35,122.0,4.1,8.3,1.0,29.8,5.61176057,7.068,2.0,4.0,14.0,0.0,121.0,0.0,59.02,-2.3553959125,906.4,2.257678575
5,5.05,5.0,10.811,300.0,5.0,-2.11375,4.7,50.0,0.0,119.0,5.3,22.0,4.0,21.5,10.25960696,50.2,2.0,4.0,9.0,0.5,101.5,0.31,38.5,-5.664293634585,800.6,2.257678575
6,2.05,8.0,15.9994,300.0,8.0,-0.7875,30.2,0.0,21.5,122.0,4.1,70.0,1.0,17.3,3.91507328,7.068,2.0,2.0,9.0,0.0,94.0,0.0,58.1337,-2.99839591,906.4,1.809559715
7,2.525,4.0,9.012182,300.0,4.0,-0.9325,11.3,0.0,66.0,96.0,5.05,130.0,1.0,17.3,8.09610906,7.895,2.0,2.0,4.0,0.0,81.0,0.0,100.1337,-4.2559153,899.4,1.809559715
8,4.449999999999998,31.0,69.723,300.0,31.0,-2.04125,15.4,48.0,0.0,122.0,4.8,22.0,4.0,21.5,6.47464548,24.44,2.0,4.0,14.0,0.5,120.5,0.1299999999999999,45.3,-3.83157220875,578.8,1.193124598
9,5.4700000000000015,6.0,12.0107,300.0,6.0,-2.435,1.0,11.299999999999995,0.0,111.0,6.24,33.0,4.0,20.0,9.91441468,117.4,2.0,4.0,4.0,0.0,93.5,0.27,74.0,-7.31731583,786.4,1.193124598
10,2.05,16.0,32.065,300.0,16.0,-4.9834375,30.2,0.0,21.5,122.0,4.1,7.7,1.0,25.7,7.76558603,7.068,2.0,4.0,9.0,0.0,113.5,0.0,58.1345,-2.6686083168750003,906.4,3.46834733
