,GSenergy_pa_composition_average,IsAlkali_arithmetic_average,MiracleRadius_min_value,IsAlkali_composition_average,GSenergy_pa_arithmetic_average,IonicRadii_composition_average,NsUnfilled_composition_average,BoilingT_max_value,BCCenergy_pa_arithmetic_average,NsValence_composition_average,GSmagmom_composition_average,Polarizability_arithmetic_average,NUnfilled_difference,ElectronAffinity_composition_average,HHIp_difference,ElasticModulus_max_value,IonicRadii_min_value,BCCmagmom_composition_average,Electronegativity_arithmetic_average,IonicRadii_max_value,BoilingT_composition_average,NValance_composition_average,IonicRadii_arithmetic_average,HeatVaporization_max_value,Column_arithmetic_average,target
0,-4.582856970668002,0.0,126.0,0.0,-4.26351446889,0.8440000000000001,0.0,3186.0,-4.175922786666667,2.0,0.23815788,13.35,3.0,70.2,8500.0,208.0,0.69,0.02582688,1.64,1.02,2932.600000000001,11.8,0.8366666666666667,377.5,8.666666666666666,4.99e-05
1,-4.1991690475,0.0,118.0,0.0,-4.1991690475,0.83,0.0,3737.0,-3.848302815,2.0,0.0,17.435000000000002,7.0,122.48,7300.0,50.0,0.5,0.00040255,1.825,1.16,2347.5,9.5,0.83,399.57,9.5,4.99e-05
2,-6.358233650669999,0.0,110.0,0.0,-6.358233650669999,0.7033333333333334,0.0,3503.0,-6.085742676666667,2.0,0.0001033735632183,13.476666666666668,1.0,61.2,7900.0,198.0,0.26,0.2728576333333333,1.5533333333333332,1.18,3003.333333333333,7.333333333333334,0.7033333333333334,359.0,8.0,4.64e-05
3,-2.0929586125,0.5,264.0,0.5,-2.0929586125,1.64,1.0,944.0,-1.494206285,1.0,0.0,30.043396500000004,0.0,59.145,0.0,1.8,1.54,0.0,1.495,1.74,482.065,1.0,1.64,67.74,1.0,4.64e-05
4,-3.363100125,0.0,118.0,0.0,-3.327202863333333,0.6725,0.25,2792.0,-3.09030247,1.75,0.0,5.8533333333333335,4.0,140.155,1000.0,80.0,0.5,0.0,2.03,1.15,1785.75,11.5,0.73,290.8,13.333333333333332,4.370000000000001e-05
5,-4.628118202223334,0.0,142.0,0.0,-4.628118202223334,0.86,0.0,3503.0,-4.488578303333333,1.3333333333333333,0.0,12.3,2.0,70.33333333333333,6300.0,127.0,0.64,0.0,1.82,1.18,2866.333333333333,12.0,0.86,393.3,9.333333333333334,4.370000000000001e-05
6,-4.316842076666667,0.3333333333333333,114.0,0.3333333333333333,-4.316842076666667,0.77,0.3333333333333333,3618.0,-4.1613990633333335,1.6666666666666663,0.0,17.625,8.0,59.93333333333334,6900.0,115.0,0.53,0.0,1.403333333333333,1.02,2775.333333333333,6.0,0.77,393.3,6.0,0.000393218
7,-3.83783313125,0.0,103.0,0.0,-3.83783313125,0.6733333333333333,0.3333333333333333,2435.0,-3.3125774366666665,1.6666666666666663,0.0,4.733333333333333,2.0,134.3733333333333,2600.0,80.0,0.29,0.0,2.23,1.15,1346.5733333333333,10.666666666666666,0.6733333333333333,250.63,14.0,0.000393218
8,-7.54428762,0.0,110.0,0.0,-7.54428762,0.5866666666666667,0.3333333333333333,4876.0,-7.195547886666668,1.6666666666666663,0.0,10.11,5.0,84.53333333333333,1500.0,330.0,0.26,0.1234523,1.8266666666666669,0.83,4005.666666666667,10.333333333333334,0.5866666666666667,661.07,9.0,7.13e-05
9,-4.419648461666666,0.0,139.0,0.0,-4.419648461666666,0.8099999999999999,0.3333333333333333,4098.0,-4.3336403133333325,1.6666666666666663,0.0,12.95,3.0,94.76666666666668,6200.0,175.0,0.63,0.0,1.7666666666666666,1.0,3194.666666666666,17.0,0.8099999999999999,510.45,8.666666666666666,7.13e-05
